#Portfolio,ProductClass,RiskClass,MarginType,Bucket,SimmSide,Regulation,InitialMargin,Currency
CRIF_20191230,RatesFX,InterestRate,Delta,All,Call,Unspecified,714930.85,USD
CRIF_20191230,RatesFX,InterestRate,Delta,USD,Call,Unspecified,714930.85,USD
CRIF_20191230,RatesFX,InterestRate,Vega,All,Call,Unspecified,146431.83,USD
CRIF_20191230,RatesFX,InterestRate,Vega,USD,Call,Unspecified,146431.83,USD
CRIF_20191230,RatesFX,InterestRate,Curvature,All,Call,Unspecified,36909.61,USD
CRIF_20191230,RatesFX,InterestRate,Curvature,USD,Call,Unspecified,2128.25,USD
CRIF_20191230,RatesFX,InterestRate,All,All,Call,Unspecified,898272.29,USD
CRIF_20191230,RatesFX,All,Delta,All,Call,Unspecified,714930.85,USD
CRIF_20191230,RatesFX,All,Vega,All,Call,Unspecified,146431.83,USD
CRIF_20191230,RatesFX,All,Curvature,All,Call,Unspecified,36909.61,USD
CRIF_20191230,RatesFX,All,All,All,Call,Unspecified,898272.29,USD
CRIF_20191230,All,InterestRate,Delta,All,Call,Unspecified,714930.85,USD
CRIF_20191230,All,InterestRate,Vega,All,Call,Unspecified,146431.83,USD
CRIF_20191230,All,InterestRate,Curvature,All,Call,Unspecified,36909.61,USD
CRIF_20191230,All,InterestRate,All,All,Call,Unspecified,898272.29,USD
CRIF_20191230,All,All,Delta,All,Call,Unspecified,714930.85,USD
CRIF_20191230,All,All,Vega,All,Call,Unspecified,146431.83,USD
CRIF_20191230,All,All,Curvature,All,Call,Unspecified,36909.61,USD
CRIF_20191230,All,All,All,All,Call,Unspecified,898272.29,USD
All,All,All,All,All,Call,Unspecified,898272.29,USD
CRIF_20191230,RatesFX,InterestRate,Delta,All,Post,Unspecified,714930.85,USD
CRIF_20191230,RatesFX,InterestRate,Delta,USD,Post,Unspecified,714930.85,USD
CRIF_20191230,RatesFX,InterestRate,Vega,All,Post,Unspecified,146431.83,USD
CRIF_20191230,RatesFX,InterestRate,Vega,USD,Post,Unspecified,146431.83,USD
CRIF_20191230,RatesFX,InterestRate,Curvature,USD,Post,Unspecified,2128.25,USD
CRIF_20191230,RatesFX,InterestRate,All,All,Post,Unspecified,861362.68,USD
CRIF_20191230,RatesFX,All,Delta,All,Post,Unspecified,714930.85,USD
CRIF_20191230,RatesFX,All,Vega,All,Post,Unspecified,146431.83,USD
CRIF_20191230,RatesFX,All,All,All,Post,Unspecified,861362.68,USD
CRIF_20191230,All,InterestRate,Delta,All,Post,Unspecified,714930.85,USD
CRIF_20191230,All,InterestRate,Vega,All,Post,Unspecified,146431.83,USD
CRIF_20191230,All,InterestRate,All,All,Post,Unspecified,861362.68,USD
CRIF_20191230,All,All,Delta,All,Post,Unspecified,714930.85,USD
CRIF_20191230,All,All,Vega,All,Post,Unspecified,146431.83,USD
CRIF_20191230,All,All,All,All,Post,Unspecified,861362.68,USD
All,All,All,All,All,Post,Unspecified,861362.68,USD
