#TradeId,ResultId,ResultType,ResultValue
Swap_1,amount[1],double,200000.000000
Swap_1,amount[2],double,101885.706669
Swap_1,currentNotional[1],double,10000000.000000
Swap_1,currentNotional[2],double,10000000.000000
Swap_1,index[2],string,Euribor6M Actual/360
Swap_1,isPayer[1],bool,false
Swap_1,isPayer[2],bool,true
Swap_1,isdaAssetClass,string,Interest Rate
Swap_1,isdaBaseProduct,string,IR Swap
Swap_1,isdaSubProduct,string,Fixed Float
Swap_1,isdaTransaction,string,
Swap_1,legNPV[1],double,3266722.174761
Swap_1,legNPV[2],double,-3266119.689189
Swap_1,legType[1],string,Fixed
Swap_1,legType[2],string,Floating
Swap_1,notionalCurrency[1],string,EUR
Swap_1,notionalCurrency[2],string,EUR
Swap_1,originalNotional[1],double,10000000.000000
Swap_1,originalNotional[2],double,10000000.000000
Swap_1,paymentDate[1],string,2017-03-01
Swap_1,paymentDate[2],string,2016-09-01
Swap_1,rate[1],double,0.020000
Swap_1,rate[2],double,0.019934
Swap_1,spread[2],double,0.000000
Swap_1,startDate,string,2016-03-01
Swap_10,amount[1],double,200000.000000
Swap_10,amount[2],double,101885.706669
Swap_10,currentNotional[1],double,10000000.000000
Swap_10,currentNotional[2],double,10000000.000000
Swap_10,index[2],string,Euribor6M Actual/360
Swap_10,isPayer[1],bool,false
Swap_10,isPayer[2],bool,true
Swap_10,isdaAssetClass,string,Interest Rate
Swap_10,isdaBaseProduct,string,IR Swap
Swap_10,isdaSubProduct,string,Fixed Float
Swap_10,isdaTransaction,string,
Swap_10,legNPV[1],double,3266722.174761
Swap_10,legNPV[2],double,-3266119.689189
Swap_10,legType[1],string,Fixed
Swap_10,legType[2],string,Floating
Swap_10,notionalCurrency[1],string,EUR
Swap_10,notionalCurrency[2],string,EUR
Swap_10,originalNotional[1],double,10000000.000000
Swap_10,originalNotional[2],double,10000000.000000
Swap_10,paymentDate[1],string,2017-03-01
Swap_10,paymentDate[2],string,2016-09-01
Swap_10,rate[1],double,0.020000
Swap_10,rate[2],double,0.019934
Swap_10,spread[2],double,0.000000
Swap_10,startDate,string,2016-03-01
Swap_11,amount[1],double,200000.000000
Swap_11,amount[2],double,101885.706669
Swap_11,currentNotional[1],double,10000000.000000
Swap_11,currentNotional[2],double,10000000.000000
Swap_11,index[2],string,Euribor6M Actual/360
Swap_11,isPayer[1],bool,false
Swap_11,isPayer[2],bool,true
Swap_11,isdaAssetClass,string,Interest Rate
Swap_11,isdaBaseProduct,string,IR Swap
Swap_11,isdaSubProduct,string,Fixed Float
Swap_11,isdaTransaction,string,
Swap_11,legNPV[1],double,3266722.174761
Swap_11,legNPV[2],double,-3266119.689189
Swap_11,legType[1],string,Fixed
Swap_11,legType[2],string,Floating
Swap_11,notionalCurrency[1],string,EUR
Swap_11,notionalCurrency[2],string,EUR
Swap_11,originalNotional[1],double,10000000.000000
Swap_11,originalNotional[2],double,10000000.000000
Swap_11,paymentDate[1],string,2017-03-01
Swap_11,paymentDate[2],string,2016-09-01
Swap_11,rate[1],double,0.020000
Swap_11,rate[2],double,0.019934
Swap_11,spread[2],double,0.000000
Swap_11,startDate,string,2016-03-01
Swap_12,amount[1],double,200000.000000
Swap_12,amount[2],double,101885.706669
Swap_12,currentNotional[1],double,10000000.000000
Swap_12,currentNotional[2],double,10000000.000000
Swap_12,index[2],string,Euribor6M Actual/360
Swap_12,isPayer[1],bool,false
Swap_12,isPayer[2],bool,true
Swap_12,isdaAssetClass,string,Interest Rate
Swap_12,isdaBaseProduct,string,IR Swap
Swap_12,isdaSubProduct,string,Fixed Float
Swap_12,isdaTransaction,string,
Swap_12,legNPV[1],double,3266722.174761
Swap_12,legNPV[2],double,-3266119.689189
Swap_12,legType[1],string,Fixed
Swap_12,legType[2],string,Floating
Swap_12,notionalCurrency[1],string,EUR
Swap_12,notionalCurrency[2],string,EUR
Swap_12,originalNotional[1],double,10000000.000000
Swap_12,originalNotional[2],double,10000000.000000
Swap_12,paymentDate[1],string,2017-03-01
Swap_12,paymentDate[2],string,2016-09-01
Swap_12,rate[1],double,0.020000
Swap_12,rate[2],double,0.019934
Swap_12,spread[2],double,0.000000
Swap_12,startDate,string,2016-03-01
Swap_13,amount[1],double,200000.000000
Swap_13,amount[2],double,101885.706669
Swap_13,currentNotional[1],double,10000000.000000
Swap_13,currentNotional[2],double,10000000.000000
Swap_13,index[2],string,Euribor6M Actual/360
Swap_13,isPayer[1],bool,false
Swap_13,isPayer[2],bool,true
Swap_13,isdaAssetClass,string,Interest Rate
Swap_13,isdaBaseProduct,string,IR Swap
Swap_13,isdaSubProduct,string,Fixed Float
Swap_13,isdaTransaction,string,
Swap_13,legNPV[1],double,3266722.174761
Swap_13,legNPV[2],double,-3266119.689189
Swap_13,legType[1],string,Fixed
Swap_13,legType[2],string,Floating
Swap_13,notionalCurrency[1],string,EUR
Swap_13,notionalCurrency[2],string,EUR
Swap_13,originalNotional[1],double,10000000.000000
Swap_13,originalNotional[2],double,10000000.000000
Swap_13,paymentDate[1],string,2017-03-01
Swap_13,paymentDate[2],string,2016-09-01
Swap_13,rate[1],double,0.020000
Swap_13,rate[2],double,0.019934
Swap_13,spread[2],double,0.000000
Swap_13,startDate,string,2016-03-01
Swap_14,amount[1],double,200000.000000
Swap_14,amount[2],double,101885.706669
Swap_14,currentNotional[1],double,10000000.000000
Swap_14,currentNotional[2],double,10000000.000000
Swap_14,index[2],string,Euribor6M Actual/360
Swap_14,isPayer[1],bool,false
Swap_14,isPayer[2],bool,true
Swap_14,isdaAssetClass,string,Interest Rate
Swap_14,isdaBaseProduct,string,IR Swap
Swap_14,isdaSubProduct,string,Fixed Float
Swap_14,isdaTransaction,string,
Swap_14,legNPV[1],double,3266722.174761
Swap_14,legNPV[2],double,-3266119.689189
Swap_14,legType[1],string,Fixed
Swap_14,legType[2],string,Floating
Swap_14,notionalCurrency[1],string,EUR
Swap_14,notionalCurrency[2],string,EUR
Swap_14,originalNotional[1],double,10000000.000000
Swap_14,originalNotional[2],double,10000000.000000
Swap_14,paymentDate[1],string,2017-03-01
Swap_14,paymentDate[2],string,2016-09-01
Swap_14,rate[1],double,0.020000
Swap_14,rate[2],double,0.019934
Swap_14,spread[2],double,0.000000
Swap_14,startDate,string,2016-03-01
Swap_15,amount[1],double,200000.000000
Swap_15,amount[2],double,101885.706669
Swap_15,currentNotional[1],double,10000000.000000
Swap_15,currentNotional[2],double,10000000.000000
Swap_15,index[2],string,Euribor6M Actual/360
Swap_15,isPayer[1],bool,false
Swap_15,isPayer[2],bool,true
Swap_15,isdaAssetClass,string,Interest Rate
Swap_15,isdaBaseProduct,string,IR Swap
Swap_15,isdaSubProduct,string,Fixed Float
Swap_15,isdaTransaction,string,
Swap_15,legNPV[1],double,3266722.174761
Swap_15,legNPV[2],double,-3266119.689189
Swap_15,legType[1],string,Fixed
Swap_15,legType[2],string,Floating
Swap_15,notionalCurrency[1],string,EUR
Swap_15,notionalCurrency[2],string,EUR
Swap_15,originalNotional[1],double,10000000.000000
Swap_15,originalNotional[2],double,10000000.000000
Swap_15,paymentDate[1],string,2017-03-01
Swap_15,paymentDate[2],string,2016-09-01
Swap_15,rate[1],double,0.020000
