Date,Scenario,Numeraire,DiscountCurve/EUR/0,DiscountCurve/EUR/1,DiscountCurve/EUR/2,DiscountCurve/EUR/3,DiscountCurve/EUR/4,DiscountCurve/EUR/5,DiscountCurve/EUR/6,DiscountCurve/EUR/7,DiscountCurve/EUR/8,DiscountCurve/EUR/9,DiscountCurve/EUR/10,DiscountCurve/EUR/11,DiscountCurve/USD/0,DiscountCurve/USD/1,DiscountCurve/USD/2,DiscountCurve/USD/3,DiscountCurve/USD/4,DiscountCurve/USD/5,DiscountCurve/USD/6,DiscountCurve/USD/7,DiscountCurve/USD/8,DiscountCurve/USD/9,DiscountCurve/USD/10,DiscountCurve/USD/11,IndexCurve/EUR-EONIA/0,IndexCurve/EUR-EONIA/1,IndexCurve/EUR-EONIA/2,IndexCurve/EUR-EONIA/3,IndexCurve/EUR-EONIA/4,IndexCurve/EUR-EONIA/5,IndexCurve/EUR-EONIA/6,IndexCurve/EUR-EONIA/7,IndexCurve/EUR-EONIA/8,IndexCurve/EUR-EONIA/9,IndexCurve/EUR-EONIA/10,IndexCurve/EUR-EONIA/11,IndexCurve/EUR-EURIBOR-3M/0,IndexCurve/EUR-EURIBOR-3M/1,IndexCurve/EUR-EURIBOR-3M/2,IndexCurve/EUR-EURIBOR-3M/3,IndexCurve/EUR-EURIBOR-3M/4,IndexCurve/EUR-EURIBOR-3M/5,IndexCurve/EUR-EURIBOR-3M/6,IndexCurve/EUR-EURIBOR-3M/7,IndexCurve/EUR-EURIBOR-3M/8,IndexCurve/EUR-EURIBOR-3M/9,IndexCurve/EUR-EURIBOR-3M/10,IndexCurve/EUR-EURIBOR-3M/11,IndexCurve/EUR-EURIBOR-6M/0,IndexCurve/EUR-EURIBOR-6M/1,IndexCurve/EUR-EURIBOR-6M/2,IndexCurve/EUR-EURIBOR-6M/3,IndexCurve/EUR-EURIBOR-6M/4,IndexCurve/EUR-EURIBOR-6M/5,IndexCurve/EUR-EURIBOR-6M/6,IndexCurve/EUR-EURIBOR-6M/7,IndexCurve/EUR-EURIBOR-6M/8,IndexCurve/EUR-EURIBOR-6M/9,IndexCurve/EUR-EURIBOR-6M/10,IndexCurve/EUR-EURIBOR-6M/11,IndexCurve/USD-FedFunds/0,IndexCurve/USD-FedFunds/1,IndexCurve/USD-FedFunds/2,IndexCurve/USD-FedFunds/3,IndexCurve/USD-FedFunds/4,IndexCurve/USD-FedFunds/5,IndexCurve/USD-FedFunds/6,IndexCurve/USD-FedFunds/7,IndexCurve/USD-FedFunds/8,IndexCurve/USD-FedFunds/9,IndexCurve/USD-FedFunds/10,IndexCurve/USD-FedFunds/11,IndexCurve/USD-LIBOR-3M/0,IndexCurve/USD-LIBOR-3M/1,IndexCurve/USD-LIBOR-3M/2,IndexCurve/USD-LIBOR-3M/3,IndexCurve/USD-LIBOR-3M/4,IndexCurve/USD-LIBOR-3M/5,IndexCurve/USD-LIBOR-3M/6,IndexCurve/USD-LIBOR-3M/7,IndexCurve/USD-LIBOR-3M/8,IndexCurve/USD-LIBOR-3M/9,IndexCurve/USD-LIBOR-3M/10,IndexCurve/USD-LIBOR-3M/11,FXSpot/USDEUR/0
2015-12-17,1,1,0.99843288,1.00128576,0.99776746,0.99482186,1.01281245,1.01131951,1.00782496,1.02591018,0.99072009,0.94463063,0.89220906,0.83549271,0.9950784,1.00713489,0.99836256,0.99720814,0.98667181,0.9687561,0.95598708,0.92902823,0.82652405,0.740739,0.66727172,0.54916933,0.99073288,1.00148576,1.00216746,1.00272186,1.00921245,0.99921951,1.01682496,1.01891018,1.00082009,0.95143063,0.89120906,0.83719271,1.00091633,0.99744929,1.00985638,1.0083461,1.00369977,1.01290311,1.00746867,1.01597154,0.98175371,0.92528926,0.87694077,0.81313422,0.9988751,1.00016092,0.99208822,1.00347131,1.00734583,0.99925354,1.00408295,1.01066442,0.97557522,0.91747329,0.86352442,0.80335446,1.00224772,1.00196598,1.00290844,1.00798033,0.99189788,0.99053624,0.97218572,0.958653,0.89229753,0.83723236,0.78280241,0.6777885,0.99007541,1.00250458,0.99829206,0.99689153,0.99923467,0.9850239,0.96630372,0.9414871,0.86915584,0.79197315,0.71583731,0.5933995,0.8952
2015-12-18,1,1,0.99953288,1.00128576,0.99846746,0.99512186,1.01331245,1.01251951,1.00932496,1.02391018,0.98912009,0.94353063,0.89330906,0.83739271,0.9957784,1.00903489,0.99796256,0.99530814,0.98747181,0.9689561,0.95418708,0.93032823,0.82722405,0.739239,0.66857172,0.54976933,0.99153288,1.00118576,1.00296746,1.00422186,1.01071245,1.00021951,1.01682496,1.01741018,1.00012009,0.95083063,0.89070906,0.83559271,0.99921633,0.99784929,1.00795638,1.0064461,1.00299977,1.01110311,1.00766867,1.01537154,0.98285371,0.92578926,0.87704077,0.81273422,0.9996751,0.99956092,0.99168822,1.00367131,1.00874583,0.99765354,1.00378295,1.01196442,0.97427522,0.91707329,0.86542442,0.80475446,1.00024772,1.00026598,1.00320844,1.00718033,0.99369788,0.99253624,0.97078572,0.958253,0.89299753,0.83533236,0.78350241,0.6758885,0.99207541,1.00200458,0.99749206,0.99829153,0.99733467,0.9856239,0.96740372,0.9402871,0.86845584,0.79387315,0.71633731,0.5951995,0.8964
2015-12-19,1,1,1.00143288,1.00058576,0.99936746,0.99712186,1.01201245,1.01391951,1.01052496,1.02471018,0.98982009,0.94383063,0.89340906,0.83869271,0.9974784,1.00723489,0.99886256,0.99340814,0.98757181,0.9695561,0.95218708,0.92992823,0.82902405,0.741039,0.66887172,0.54996933,0.99123288,0.99948576,1.00486746,1.00442186,1.00891245,1.00071951,1.01512496,1.01661018,0.99962009,0.95003063,0.89180906,0.83509271,0.99731633,0.99944929,1.00675638,1.0059461,1.00329977,1.00920311,1.00706867,1.01347154,0.98195371,0.92648926,0.87534077,0.81183422,0.9984751,0.99756092,0.99298822,1.00287131,1.00884583,0.99925354,1.00538295,1.01096442,0.97607522,0.91627329,0.86412442,0.80275446,1.00144772,1.00086598,1.00450844,1.00578033,0.99459788,0.99373624,0.97168572,0.959253,0.89489753,0.83613236,0.78160241,0.6755885,0.99377541,1.00100458,0.99919206,0.99929153,0.99653467,0.9862239,0.96940372,0.9392871,0.86815584,0.79257315,0.71583731,0.5963995,0.8977
2015-12-20,1,1,1.00183288,0.99898576,0.99846746,0.99842186,1.01361245,1.01251951,1.01112496,1.02641018,0.99012009,0.94183063,0.89330906,0.83719271,0.9964784,1.00563489,0.99836256,0.99460814,0.98927181,0.9676561,0.95408708,0.93002823,0.82912405,0.742239,0.66927172,0.55066933,0.99263288,0.99808576,1.00326746,1.00292186,1.00711245,1.00201951,1.01672496,1.01741018,1.00002009,0.95013063,0.89360906,0.83439271,0.99881633,1.00084929,1.00725638,1.0043461,1.00189977,1.01070311,1.00576867,1.01377154,0.98315371,0.92728926,0.87694077,0.81313422,0.9971751,0.99926092,0.99218822,1.00347131,1.00704583,1.00055354,1.00348295,1.01026442,0.97637522,0.91677329,0.86262442,0.80165446,0.99984772,1.00286598,1.00250844,1.00578033,0.99419788,0.99173624,0.97248572,0.958153,0.89489753,0.83713236,0.78190241,0.6751885,0.99237541,1.00100458,0.99979206,0.99779153,0.99553467,0.9863239,0.96860372,0.9373871,0.86615584,0.79417315,0.71393731,0.5978995,0.8966
2015-12-21,1,1,1.00123288,0.99888576,0.99726746,0.99642186,1.01421245,1.01151951,1.01132496,1.02511018,0.99152009,0.94303063,0.89340906,0.83739271,0.9974784,1.00373489,0.99646256,0.99540814,0.98897181,0.9686561,0.95578708,0.93102823,0.83022405,0.743539,0.67107172,0.55056933,0.99223288,0.99808576,1.00326746,1.00302186,1.00531245,1.00381951,1.01682496,1.01911018,1.00152009,0.95193063,0.89520906,0.83369271,0.99701633,0.99964929,1.00565638,1.0032461,1.00279977,1.00990311,1.00626867,1.01567154,0.98265371,0.92748926,0.87494077,0.81163422,0.9989751,0.99976092,0.99228822,1.00267131,1.00604583,1.00115354,1.00278295,1.01026442,0.97657522,0.91807329,0.86212442,0.80245446,1.00154772,1.00096598,1.00240844,1.00438033,0.99309788,0.99343624,0.97428572,0.958853,0.89549753,0.83653236,0.78140241,0.6758885,0.99397541,1.00070458,1.00059206,0.99649153,0.99643467,0.9858239,0.96680372,0.9353871,0.86705584,0.79217315,0.71313731,0.5965995,0.895
2015-12-22,1,1,1.00293288,1.00048576,0.99846746,0.99752186,1.01391245,1.01021951,1.01222496,1.02461018,0.99232009,0.94343063,0.89370906,0.83559271,0.9981784,1.00443489,0.99636256,0.99660814,0.98697181,0.9696561,0.95698708,0.93052823,0.82862405,0.745139,0.67037172,0.55096933,0.99363288,0.99748576,1.00316746,1.00102186,1.00551245,1.00411951,1.01852496,1.01781018,1.00212009,0.95043063,0.89470906,0.83359271,0.99681633,1.00114929,1.00705638,1.0017461,1.00299977,1.01040311,1.00786867,1.01407154,0.98335371,0.92848926,0.87664077,0.81133422,1.0004751,0.99856092,0.99288822,1.00457131,1.00714583,1.00245354,1.00078295,1.00826442,0.97667522,0.91657329,0.86412442,0.80295446,1.00124772,0.99906598,1.00220844,1.00398033,0.99479788,0.99223624,0.97258572,0.959453,0.89549753,0.83773236,0.77960241,0.6760885,0.99527541,1.00010458,1.00019206,0.99849153,0.99623467,0.9842239,0.96580372,0.9362871,0.86655584,0.79187315,0.71243731,0.5953995,0.893
2015-12-23,1,1,1.00103288,0.99988576,0.99796746,0.99812186,1.01281245,1.00921951,1.01362496,1.02381018,0.99342009,0.94363063,0.89500906,0.83689271,0.9998784,1.00643489,0.99686256,0.99480814,0.98747181,0.9690561,0.95858708,0.93072823,0.82962405,0.746739,0.66917172,0.55286933,0.99473288,0.99928576,1.00116746,1.00102186,1.00361245,1.00611951,1.01772496,1.01881018,1.00122009,0.94883063,0.89640906,0.83419271,0.99771633,1.00144929,1.00545638,1.0000461,1.00339977,1.00900311,1.00636867,1.01577154,0.98515371,0.92958926,0.87744077,0.81093422,1.0004751,0.99656092,0.99358822,1.00507131,1.00654583,1.00395354,0.99998295,1.00646442,0.97627522,0.91547329,0.86522442,0.80295446,1.00074772,0.99876598,1.00370844,1.00248033,0.99669788,0.99233624,0.97128572,0.961053,0.89699753,0.83813236,0.77810241,0.6756885,0.99657541,0.99970458,0.99979206,0.99959153,0.99483467,0.9848239,0.96690372,0.9363871,0.86795584,0.79027315,0.71383731,0.5942995,0.8911
2015-12-24,1,1,1.00133288,1.00128576,0.99836746,0.99852186,1.01131245,1.01041951,1.01502496,1.02471018,0.99512009,0.94543063,0.89670906,0.83889271,1.0008784,1.00523489,0.99506256,0.99350814,0.98747181,0.9702561,0.95808708,0.93042823,0.82892405,0.745239,0.66957172,0.55466933,0.99523288,0.99918576,1.00216746,1.00112186,1.00171245,1.00741951,1.01762496,1.01801018,1.00302009,0.94703063,0.89450906,0.83459271,0.99611633,1.00264929,1.00365638,0.9993461,1.00539977,1.00700311,1.00746867,1.01587154,0.98405371,0.92888926,0.87714077,0.80973422,0.9998751,0.99846092,0.99408822,1.00497131,1.00504583,1.00535354,1.00028295,1.00556442,0.97757522,0.91667329,0.86682442,0.80315446,1.00234772,1.00076598,1.00210844,1.00098033,0.99829788,0.99413624,0.97298572,0.962053,0.89559753,0.83663236,0.77900241,0.6769885,0.99687541,0.99780458,0.99989206,0.99849153,0.99383467,0.9853239,0.96540372,0.9378871,0.86805584,0.79137315,0.71533731,0.5957995,0.8898
2015-12-25,1,1,0.99993288,0.99998576,0.99866746,0.99992186,1.00931245,1.01041951,1.01492496,1.02611018,0.99452009,0.94673063,0.89650906,0.83739271,1.0025784,1.00423489,0.99316256,0.99290814,0.98907181,0.9703561,0.95908708,0.92972823,0.82802405,0.745839,0.66977172,0.55346933,0.99523288,1.00108576,1.00226746,1.00102186,1.00051245,1.00741951,1.01792496,1.01621018,1.00152009,0.94773063,0.89470906,0.83379271,0.99741633,1.00064929,1.00265638,1.0002461,1.00359977,1.00610311,1.00676867,1.01457154,0.98575371,0.92818926,0.87834077,0.81053422,1.0016751,0.99706092,0.99418822,1.00657131,1.00394583,1.00505354,1.00188295,1.00396442,0.97707522,0.91477329,0.86792442,0.80155446,1.00054772,1.00116598,1.00020844,1.00138033,0.99779788,0.99353624,0.97438572,0.960153,0.89569753,0.83633236,0.77800241,0.6782885,0.99717541,0.99930458,0.99789206,0.99839153,0.99323467,0.9842239,0.96650372,0.9362871,0.86925584,0.78987315,0.71673731,0.5956995,0.8904
2015-12-26,1,1,1.00103288,1.00068576,1.00036746,0.99932186,1.00851245,1.01011951,1.01672496,1.02551018,0.99562009,0.94503063,0.89540906,0.83889271,1.0018784,1.00573489,0.99306256,0.99270814,0.99037181,0.9720561,0.95778708,0.92842823,0.83002405,0.745639,0.67067172,0.55366933,0.99663288,1.00148576,1.00166746,1.00082186,1.00101245,1.00631951,1.01872496,1.01461018,1.00172009,0.94613063,0.89390906,0.83359271,0.99761633,1.00224929,1.00325638,0.9985461,1.00369977,1.00540311,1.00816867,1.01397154,0.98605371,0.92778926,0.87764077,0.81243422,1.0032751,0.99736092,0.99588822,1.00497131,1.00204583,1.00575354,1.00258295,1.00336442,0.97547522,0.91497329,0.86652442,0.80165446,1.00014772,0.99926598,0.99990844,1.00008033,0.99699788,0.99293624,0.97328572,0.959253,0.89679753,0.83713236,0.77740241,0.6787885,0.99587541,0.99890458,0.99959206,0.99939153,0.99353467,0.9827239,0.96850372,0.9375871,0.86735584,0.78807315,0.71843731,0.5967995,0.8892
