#fixingDate,fixingId,fixingValue
2016-01-28,EQ-SP5,2244.2000000000
2016-01-29,EQ-SP5,2210.0000000000
2016-02-01,EQ-SP5,2147.3000000000
2016-02-02,EQ-SP5,2102.8000000000
2016-02-03,EQ-SP5,2180.3000000000
2016-02-04,EQ-SP5,2196.5000000000
2015-08-01,EUHICP,100.0000000000
2015-09-01,EUHICP,100.0000000000
2015-10-01,EUHICP,100.0000000000
2015-11-01,EUHICP,100.1700000000
2015-12-01,EUHICP,100.1600000000
2016-01-01,EUHICP,98.6700000000
2014-11-19,EUHICPXT,100.0000000000
2014-12-09,EUHICPXT,100.0000000000
2015-02-01,EUHICPXT,100.0000000000
2015-03-01,EUHICPXT,100.0000000000
2015-04-01,EUHICPXT,100.0000000000
2015-05-01,EUHICPXT,100.0000000000
2015-06-01,EUHICPXT,100.0000000000
2015-07-01,EUHICPXT,100.0000000000
2015-08-01,EUHICPXT,100.0000000000
2015-09-01,EUHICPXT,100.0000000000
2015-10-01,EUHICPXT,100.0000000000
2015-11-01,EUHICPXT,100.1700000000
2015-12-01,EUHICPXT,100.1600000000
2016-01-01,EUHICPXT,98.6700000000
2015-02-02,EUR-EONIA,-0.0002400000
2015-02-03,EUR-EONIA,-0.0003400000
2015-02-04,EUR-EONIA,-0.0003700000
2015-02-05,EUR-EONIA,-0.0002600000
2015-02-06,EUR-EONIA,-0.0003700000
2015-02-09,EUR-EONIA,-0.0004200000
2015-02-10,EUR-EONIA,-0.0004100000
2015-02-11,EUR-EONIA,-0.0004800000
2015-02-12,EUR-EONIA,-0.0004500000
2015-02-13,EUR-EONIA,-0.0004600000
2015-02-16,EUR-EONIA,-0.0004900000
2015-02-17,EUR-EONIA,-0.0004000000
2015-02-18,EUR-EONIA,-0.0003800000
2015-02-19,EUR-EONIA,-0.0003400000
2015-02-20,EUR-EONIA,-0.0004300000
2015-02-23,EUR-EONIA,-0.0004400000
2015-02-24,EUR-EONIA,-0.0004800000
