#Portfolio,RiskClass,RiskType,Quantile_0.010000,Quantile_0.050000,Quantile_0.950000,Quantile_0.990000
PF1,All,All,-50726755.115408,-35873488.148231,35826163.148231,50679430.115408
PF2,All,All,-6496758.482691,-4633318.732994,4361872.732994,6225312.482691
All,All,All,-51235640.807621,-36273057.331258,35954286.331258,50916869.807621
PF1,All,DeltaGamma,-50726755.115408,-35873488.148231,35826163.148231,50679430.115408
PF2,All,DeltaGamma,-6487761.420238,-4624992.974542,4366957.974542,6229726.420238
All,All,DeltaGamma,-51228649.967103,-36266150.080097,35960790.080097,50923289.967103
PF2,All,Vega,-177433.848212,-127419.665564,114008.665564,164022.848212
All,All,Vega,-177433.848212,-127419.665564,114008.665564,164022.848212
PF1,InterestRate,All,-36287031.527463,-25662908.027948,25621833.027948,36245956.527463
PF2,InterestRate,All,-6495318.588113,-4634434.468231,4348420.468231,6209304.588113
All,InterestRate,All,-36990560.914470,-26202234.637060,25875145.637060,36663471.914470
PF1,InterestRate,DeltaGamma,-36287031.527463,-25662908.027948,25621833.027948,36245956.527463
PF2,InterestRate,DeltaGamma,-6486368.759528,-4626072.092586,4353947.092586,6214243.759528
All,InterestRate,DeltaGamma,-36983270.567252,-26195045.604394,25881845.604394,36670070.567252
PF2,InterestRate,Vega,-166546.889318,-119792.011561,105903.011561,152657.889318
All,InterestRate,Vega,-166546.889318,-119792.011561,105903.011561,152657.889318
PF1,Inflation,All,-304149.096627,-215013.224331,215263.224331,304399.096627
All,Inflation,All,-304149.096627,-215013.224331,215263.224331,304399.096627
PF1,Inflation,DeltaGamma,-304149.096627,-215013.224331,215263.224331,304399.096627
All,Inflation,DeltaGamma,-304149.096627,-215013.224331,215263.224331,304399.096627
PF1,Credit,All,-608375.168374,-431106.185147,424606.185147,601875.168374
All,Credit,All,-608375.168374,-431106.185147,424606.185147,601875.168374
PF1,Credit,DeltaGamma,-608375.168374,-431106.185147,424606.185147,601875.168374
All,Credit,DeltaGamma,-608375.168374,-431106.185147,424606.185147,601875.168374
PF1,Equity,All,-324115.056396,-229166.854769,229166.854769,324115.056396
PF2,Equity,All,-324018.180057,-229071.992827,229251.992827,324198.180057
All,Equity,All,-2905.708677,-2028.127874,2208.127874,3085.708677
PF1,Equity,DeltaGamma,-324115.056396,-229166.854769,229166.854769,324115.056396
PF2,Equity,DeltaGamma,-324019.443256,-229073.471869,229249.471869,324195.443256
All,Equity,DeltaGamma,-2826.903898,-1972.994530,2148.994530,3002.903898
PF2,Equity,Vega,-689.090258,-486.638148,490.638148,693.090258
All,Equity,Vega,-689.090258,-486.638148,490.638148,693.090258
PF1,FX,All,-35425713.852477,-25047893.522169,25047893.522169,35425713.852477
PF2,FX,All,-69381.369396,-46948.923048,61336.923048,83769.369396
All,FX,All,-35377773.854841,-25011889.900590,25026277.900590,35392161.854841
PF1,FX,DeltaGamma,-35425713.852477,-25047893.522169,25047893.522169,35425713.852477
PF2,FX,DeltaGamma,-39829.948999,-26123.900547,40037.900547,53743.948999
All,FX,DeltaGamma,-35377958.929242,-25012090.186387,25026004.186387,35391872.929242
PF2,FX,Vega,-60382.869692,-42624.522782,43098.522782,60856.869692
All,FX,Vega,-60382.869692,-42624.522782,43098.522782,60856.869692
