#Sample,Regressor_0_USD,Regressor_1_EUR-EURIBOR-3M,Regressor_2_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.436324,0.000175,0.009921,0.000000,1548036.096503,1773740.448606,1852580.809479,-248248.956878,2096519.677726
1,0.447154,0.004998,0.006315,0.000000,0.000000,1773740.448606,1852580.809479,489277.732279,2096519.677726
2,0.452281,-0.001419,0.004199,0.000000,0.000000,1773740.448606,1852580.809479,-294077.332649,2096519.677726
3,0.457696,0.002518,0.036542,0.000000,0.000000,1773740.448606,1852580.809479,-52691.033271,2096519.677726
4,0.459985,-0.006463,0.013658,0.000000,1561669.743592,1773740.448606,1852580.809479,-39472.473013,2096519.677726
5,0.461522,0.015785,0.037421,0.000000,0.000000,1773740.448606,1852580.809479,40586.084338,2096519.677726
6,0.475069,-0.018573,0.011123,309298.416003,0.000000,1773740.448606,1852580.809479,-50063.665662,2096519.677726
7,0.478657,-0.000474,0.022809,0.000000,0.000000,1773740.448606,1852580.809479,-1137148.236410,2096519.677726
8,0.482118,-0.000989,0.046401,418016.467345,0.000000,1773740.448606,1852580.809479,69868.535811,2096519.677726
9,0.482655,0.007741,0.021015,0.000000,0.000000,1773740.448606,1852580.809479,337751.874629,2096519.677726
10,0.494709,-0.013788,0.012529,471503.058483,0.000000,1773740.448606,1852580.809479,421288.742645,2096519.677726
11,0.494870,0.005606,0.009280,0.000000,0.000000,1773740.448606,1852580.809479,413661.141495,2096519.677726
12,0.499521,0.012095,0.046769,383878.073462,0.000000,1773740.448606,1852580.809479,260418.114790,2096519.677726
13,0.508324,0.001867,0.017041,390612.528275,0.000000,1773740.448606,1852580.809479,333939.959041,2096519.677726
14,0.517967,-0.014667,0.011680,671445.211248,0.000000,1773740.448606,1852580.809479,-869418.502928,2096519.677726
15,0.518760,-0.002945,0.037432,695509.611535,0.000000,1773740.448606,1852580.809479,46371.698612,2096519.677726
16,0.518791,0.000626,-0.005350,310062.845791,0.000000,1773740.448606,1852580.809479,4357.303225,2096519.677726
17,0.521047,0.014518,0.028901,420530.511712,0.000000,1773740.448606,1852580.809479,-225008.596655,2096519.677726
18,0.522705,0.002014,0.011121,491300.311362,0.000000,1773740.448606,1852580.809479,416811.074994,2096519.677726
19,0.524086,-0.006999,0.018993,671811.102824,0.000000,1773740.448606,1852580.809479,-257087.314634,2096519.677726
20,0.533361,0.013857,0.022541,504562.125871,0.000000,1773740.448606,1852580.809479,-623768.769210,2096519.677726
21,0.534184,0.007203,0.075303,880098.194247,0.000000,1773740.448606,1852580.809479,-164329.976923,2096519.677726
22,0.534214,0.007933,0.019158,570260.034642,0.000000,1773740.448606,1852580.809479,-411366.554963,2096519.677726
23,0.536182,0.003739,0.039082,750071.347351,0.000000,1773740.448606,1852580.809479,331636.651280,2096519.677726
24,0.539143,0.002255,0.022364,694628.236915,1608841.594147,1773740.448606,1852580.809479,372364.480010,2096519.677726
25,0.540001,-0.001283,0.003984,632582.676540,1609368.417126,1773740.448606,1852580.809479,580333.623045,2096519.677726
26,0.541240,-0.002775,0.022387,760375.763422,0.000000,1773740.448606,1852580.809479,-113170.881672,2096519.677726
27,0.542772,0.002034,0.037208,797769.485561,0.000000,1773740.448606,1852580.809479,-181488.765452,2096519.677726
28,0.546993,0.007396,0.047872,824369.079480,0.000000,1773740.448606,1852580.809479,-334773.219316,2096519.677726
29,0.548789,-0.001627,-0.019777,550944.983448,0.000000,1773740.448606,1852580.809479,992166.514572,2096519.677726
30,0.550212,0.008283,0.023417,711279.181568,0.000000,1773740.448606,1852580.809479,524042.460240,2096519.677726
31,0.550424,0.003159,0.028748,791512.216449,0.000000,1773740.448606,1852580.809479,-304725.751464,2096519.677726
32,0.552612,0.003655,-0.003975,619859.915576,0.000000,1773740.448606,1852580.809479,460126.783843,2096519.677726
33,0.554163,0.003301,0.038625,858614.467258,0.000000,1773740.448606,1852580.809479,-16155.315061,2096519.677726
34,0.556140,-0.017853,0.004445,898028.919034,0.000000,1773740.448606,1852580.809479,-518230.243817,2096519.677726
35,0.558480,0.010653,0.043948,842432.571057,0.000000,1773740.448606,1852580.809479,323998.380860,2096519.677726
36,0.559490,-0.003043,0.005038,787933.113310,0.000000,1773740.448606,1852580.809479,-344252.161928,2096519.677726
37,0.560164,-0.005808,0.014831,863286.264880,0.000000,1773740.448606,1852580.809479,-15511.185508,2096519.677726
38,0.560814,0.007366,0.019800,769811.785684,0.000000,1773740.448606,1852580.809479,877799.296253,2096519.677726
39,0.563327,-0.001617,0.024583,888124.411611,0.000000,1773740.448606,1852580.809479,-696795.461656,2096519.677726
40,0.564056,-0.002231,0.007606,819935.468183,0.000000,1773740.448606,1852580.809479,-324961.751079,2096519.677726
41,0.567739,0.001346,0.033149,923766.790544,0.000000,1773740.448606,1852580.809479,433343.324314,2096519.677726
42,0.568506,0.008566,0.025074,830200.333888,0.000000,1773740.448606,1852580.809479,-236977.615849,2096519.677726
