#Tenor,Date,EUR,EUR-EURIBOR-6M
1M,2016-03-07,0.998280442170193,0.998287893648318
2M,2016-04-05,0.996677288525253,0.996688899602406
3M,2016-05-05,0.995023957098075,0.995037462944926
4M,2016-06-06,0.993266532575445,0.993278946413390
5M,2016-07-05,0.991679331583079,0.991687975380534
6M,2016-08-05,0.989988083593282,0.989990100098999
7M,2016-09-05,0.988302686142604,0.988334429775642
8M,2016-10-05,0.986677094953606,0.986740429772775
9M,2016-11-07,0.984895046939117,0.984989998914151
10M,2016-12-05,0.983388167719536,0.983507220171629
11M,2017-01-05,0.981725116150114,0.981868175823618
1Y,2017-02-06,0.980014321365587,0.980179124133947
1Y1M,2017-03-06,0.978497949443862,0.978703587559229
1Y2M,2017-04-05,0.976871904274571,0.977125120317398
1Y3M,2017-05-05,0.975248561229381,0.975549198850268
1Y4M,2017-06-05,0.973581606984936,0.973923416784019
1Y5M,2017-07-05,0.971972562755202,0.972352659070460
1Y6M,2017-08-07,0.970205685398346,0.970627751436652
1Y7M,2017-09-05,0.968662628858150,0.969114449734098
1Y8M,2017-10-05,0.967069780396739,0.967551447991859
1Y9M,2017-11-06,0.965373628924084,0.965887024550591
1Y10M,2017-12-05,0.963845699279834,0.964381114095668
1Y11M,2018-01-05,0.962216202694384,0.962773943978390
2Y,2018-02-05,0.960589460968062,0.961169452258427
2Y1M,2018-03-05,0.959114092257301,0.959712229000416
2Y2M,2018-04-05,0.957480190197658,0.958099553560229
2Y3M,2018-05-07,0.955796501136596,0.956437698712112
2Y4M,2018-06-05,0.954273215425584,0.954934132742381
2Y5M,2018-07-05,0.952699957301724,0.953381206967635
2Y6M,2018-08-06,0.951024674081241,0.951727536245198
2Y7M,2018-09-05,0.949456771650047,0.950179825077595
2Y8M,2018-10-05,0.947891454133945,0.948634630817160
2Y9M,2018-11-05,0.946276670437480,0.947040569884517
2Y10M,2018-12-05,0.944716595780537,0.945500480719958
2Y11M,2019-01-07,0.943003484165985,0.943809275193640
3Y,2019-02-05,0.941500587125499,0.942325561711822
3Y1M,2019-03-05,0.940051765321188,0.940895259465165
3Y2M,2019-04-05,0.938450305131482,0.939314253439946
3Y3M,2019-05-06,0.936851573168916,0.937735904012288
3Y4M,2019-06-05,0.935307006462991,0.936210994312401
3Y5M,2019-07-05,0.933764986250423,0.934688564361432
3Y6M,2019-08-05,0.932174236137305,0.933117987576085
3Y7M,2019-09-05,0.930586196005778,0.931550049863829
3Y8M,2019-10-07,0.928949766398463,0.929934296957636
3Y9M,2019-11-05,0.927469237830340,0.928472441721061
3Y10M,2019-12-05,0.925940139575557,0.926962595903705
3Y11M,2020-01-06,0.924311880027429,0.925354799834688
4Y,2020-02-05,0.922787987239425,0.923850023805460
4Y1M,2020-03-05,0.921317311094679,0.922401039638560
4Y2M,2020-04-06,0.919697225187932,0.920805556661780
4Y3M,2020-05-05,0.918231483204611,0.919362034102538
4Y4M,2020-06-05,0.916667238667235,0.917821460627527
4Y5M,2020-07-06,0.915105658883811,0.916283468689000
4Y6M,2020-08-05,0.913596985566671,0.914797543285652
4Y7M,2020-09-07,0.911940317531906,0.913165808402565
4Y8M,2020-10-05,0.910537015864165,0.911783588748617
4Y9M,2020-11-05,0.908985879163675,0.910255714462241
4Y10M,2020-12-07,0.907387477402923,0.908681239332085
4Y11M,2021-01-05,0.905941353739238,0.907256723745003
5Y,2021-02-05,0.904398045935390,0.905736435118999
5Y1M,2021-03-05,0.903006350294442,0.904362206290546
5Y2M,2021-04-06,0.901418463087270,0.902793593128849
5Y3M,2021-05-05,0.899981852266607,0.901374387683065
5Y4M,2021-06-07,0.898349873065274,0.899762143389967
5Y5M,2021-07-05,0.896967484387157,0.898396440186926
5Y6M,2021-08-05,0.895439463818237,0.896886829488924
5Y7M,2021-09-06,0.893864882566477,0.895331182342788
5Y8M,2021-10-05,0.892440310056494,0.893923707921800
5Y9M,2021-11-05,0.890920001713063,0.892421612930867
5Y10M,2021-12-06,0.889402283276693,0.890922041968934
5Y11M,2022-01-05,0.887935985280332,0.889473243480788
6Y,2022-02-07,0.886325849413211,0.887882286182399
6Y1M,2022-03-07,0.884961963408591,0.886534614810502
6Y2M,2022-04-05,0.883551579680827,0.885140968729282
6Y3M,2022-05-05,0.882094927348065,0.883701571299562
6Y4M,2022-06-06,0.880543811733097,0.882168793938776
6Y5M,2022-07-05,0.879140469312741,0.880782010995269
6Y6M,2022-08-05,0.877642817788930,0.879301998511994
6Y7M,2022-09-05,0.876147717575365,0.877824472951617
6Y8M,2022-10-05,0.874703271494343,0.876396973451819
6Y9M,2022-11-07,0.873117131126595,0.874829405038246
6Y10M,2022-12-05,0.871773570813761,0.873501545970876
6Y11M,2023-01-05,0.870288469100984,0.872033767137910
7Y,2023-02-06,0.868758114496172,0.870521227543639
7Y1M,2023-03-06,0.867421261876427,0.869200988410074
7Y2M,2023-04-05,0.865991202518651,0.867788807054602
7Y3M,2023-05-05,0.864563500803990,0.866378920054760
7Y4M,2023-06-05,0.863090681738542,0.864924443210117
7Y5M,2023-07-05,0.861667761918292,0.863519209910938
7Y6M,2023-08-07,0.860105259449962,0.861976090081595
7Y7M,2023-09-05,0.858734490408747,0.860622291699725
7Y8M,2023-10-05,0.857318752349482,0.859224048059131
7Y9M,2023-11-06,0.855811204281188,0.857735092015936
7Y10M,2023-12-05,0.854447278771997,0.856387954441001
7Y11M,2024-01-05,0.852991693101973,0.854950250428435
8Y,2024-02-05,0.851538587081303,0.853514960033222
8Y1M,2024-03-05,0.850181527599471,0.852174450493467
8Y2M,2024-04-05,0.848733288515169,0.850743820110908
8Y3M,2024-05-06,0.847287516429240,0.849315591470493
8Y4M,2024-06-05,0.845890727105301,0.847935717702310
8Y5M,2024-07-05,0.844496240447668,0.846558085799971
8Y6M,2024-08-05,0.843057685948119,0.845136884169900
8Y7M,2024-09-05,0.841621581949766,0.843718068452984
8Y8M,2024-10-07,0.840141717939321,0.842255982842585
8Y9M,2024-11-05,0.838802838932454,0.840933156374643
8Y10M,2024-12-05,0.837420036958399,0.839566901457236
8Y11M,2025-01-06,0.835947560728109,0.838112009436446
9Y,2025-02-05,0.834569465800995,0.836750338005667
9Y1M,2025-03-05,0.833285210347676,0.835481440722008
9Y2M,2025-04-07,0.831774133704704,0.833988424743407
9Y3M,2025-05-05,0.830494157130993,0.832723715786992
9Y4M,2025-06-05,0.829079337640701,0.831325739295920
9Y5M,2025-07-07,0.827621406914478,0.829885128449209
9Y6M,2025-08-05,0.826302371814989,0.828581731339985
9Y7M,2025-09-05,0.824894693397892,0.827190708411990
9Y8M,2025-10-06,0.823489413084194,0.825802020733148
9Y9M,2025-11-05,0.822131743859316,0.824460349206607
9Y10M,2025-12-05,0.820776312994391,0.823120857479147
9Y11M,2026-01-05,0.819378048702195,0.821739002265645
10Y,2026-02-05,0.817982166475610,0.820359466910538
10Y1M,2026-03-05,0.816723442183737,0.819114447952221
10Y2M,2026-04-07,0.815242439409703,0.817649337992456
10Y3M,2026-05-05,0.813987937228826,0.816408269642314
10Y4M,2026-06-05,0.812601275744543,0.815036426877241
10Y5M,2026-07-06,0.811216976494372,0.813666889273252
10Y6M,2026-08-05,0.809879577429844,0.812343721473602
10Y7M,2026-09-07,0.808410984955505,0.810890721981213
10Y8M,2026-10-05,0.807166995076364,0.809659912190617
10Y9M,2026-11-05,0.805791953343845,0.808299408954663
10Y10M,2026-12-07,0.804375012383367,0.806897416388549
10Y11M,2027-01-05,0.803093061935627,0.805628961212113
11Y,2027-02-05,0.801724960313542,0.804275231340837
11Y1M,2027-03-05,0.800491258947473,0.803054462867066
11Y2M,2027-04-05,0.799127589602364,0.801705059026110
11Y3M,2027-05-05,0.797810121499821,0.800401343300542
11Y4M,2027-06-07,0.796363415133790,0.798969704556029
11Y5M,2027-07-05,0.795137964160237,0.797756989071562
11Y6M,2027-08-05,0.793783414370045,0.796416486783138
11Y7M,2027-09-06,0.792387589766807,0.795035105104974
11Y8M,2027-10-05,0.791124743942599,0.793785297664727
11Y9M,2027-11-05,0.789777030835913,0.792451469164803
11Y10M,2027-12-06,0.788431613613196,0.791119881949106
11Y11M,2028-01-05,0.787131779249463,0.789833379613497
12Y,2028-02-07,0.785704436420314,0.788420643268876
12Y1M,2028-03-06,0.784495407712806,0.787224973493936
12Y2M,2028-04-05,0.783202086832002,0.785945995913502
12Y3M,2028-05-05,0.781910898122891,0.784669096244347
12Y4M,2028-06-05,0.780578906021168,0.783351812628183
12Y5M,2028-07-05,0.779292041893798,0.782079127640184
12Y6M,2028-08-07,0.777878941582756,0.780681562203550
12Y7M,2028-09-05,0.776639241640164,0.779455460486711
12Y8M,2028-10-05,0.775358872452290,0.778189105769222
12Y9M,2028-11-06,0.773995471825450,0.776840595037681
12Y10M,2028-12-05,0.772761960940021,0.775620525763089
12Y11M,2029-01-05,0.771445554133369,0.774318432669531
13Y,2029-02-05,0.770131389837307,0.773018525498558
13Y1M,2029-03-05,0.768946327039174,0.771846291590295
13Y2M,2029-04-05,0.767636420198479,0.770550534590338
13Y3M,2029-05-07,0.766286598827153,0.769215260609520
13Y4M,2029-06-05,0.765065373515870,0.768007167326275
13Y5M,2029-07-05,0.763804085032828,0.766759412260447
13Y6M,2029-08-06,0.762461002487035,0.765430707851355
13Y7M,2029-09-05,0.761204007575886,0.764187138671413
13Y8M,2029-10-05,0.759949084949354,0.762945589875929
13Y9M,2029-11-05,0.758654504989803,0.761664775160046
13Y10M,2029-12-05,0.757403785478928,0.760427324362579
13Y11M,2030-01-07,0.756030375425562,0.759068450422537
14Y,2030-02-05,0.754825495382009,0.757876293241786
14Y1M,2030-03-05,0.753663984988506,0.756727021575064
14Y2M,2030-04-05,0.752380111752095,0.755456646442157
14Y3M,2030-05-06,0.751098425605051,0.754188403984485
14Y4M,2030-06-05,0.749860163063520,0.752963099792421
14Y5M,2030-07-05,0.748623941924380,0.751739786310312
14Y6M,2030-08-05,0.747348654445720,0.750477783628080
14Y7M,2030-09-05,0.746075539430512,0.749217899565614
14Y8M,2030-10-07,0.744763630978479,0.747919592547003
14Y9M,2030-11-05,0.743576706662608,0.746744945237682
14Y10M,2030-12-05,0.742350844443720,0.745531734179320
14Y11M,2031-01-06,0.741045485541399,0.744239814854324
15Y,2031-02-05,0.739823796299304,0.743030673795904
15Y1M,2031-03-05,0.738685362842710,0.741903570366804
15Y2M,2031-04-07,0.737345884099678,0.740577305156474
15Y3M,2031-05-05,0.736211261624157,0.739453848661912
15Y4M,2031-06-05,0.734957108911973,0.738212009690632
15Y5M,2031-07-07,0.733664740586983,0.736932298901389
15Y6M,2031-08-05,0.732495494847027,0.735774477300733
15Y7M,2031-09-05,0.731247672028482,0.734538817466602
15Y8M,2031-10-06,0.730001974904630,0.733305232799894
15Y9M,2031-11-05,0.728798482092637,0.732113413740154
15Y10M,2031-12-05,0.727596973377946,0.730923531708281
15Y11M,2032-01-05,0.726357495302691,0.729696018553344
16Y,2032-02-05,0.725120128706670,0.728470566884295
