TradeID,PortfolioID,ProductClass,RiskType,Qualifier,Bucket,Label1,Label2,AmountCurrency,Amount,AmountUSD,end_date,im_model
IM_Schedule_1,nettingSetId_1,Rates,PV,,,,,EUR,1014.052346,1190.193238,24/08/2021,Schedule
IM_Schedule_1,nettingSetId_1,Rates,Notional,,,,,EUR,6027.633761,7074.633745,24/08/2021,Schedule
IM_Schedule_2,nettingSetId_1,Rates,PV,,,,,GBP,874.3453637,1154.13588,24/08/2021,Schedule
IM_Schedule_2,nettingSetId_1,Rates,Notional,,,,,GBP,1.143748173,1.509747589,24/08/2021,Schedule
IM_Schedule_3,nettingSetId_1,Rates,PV,,,,,USD,-1166.757847,-1166.757847,24/08/2021,Schedule
IM_Schedule_3,nettingSetId_1,Rates,Notional,,,,,USD,5496.624779,5496.624779,24/08/2021,Schedule
IM_Schedule_4,nettingSetId_1,Rates,PV,,,,,EUR,1038.628473,1219.038239,24/08/2022,Schedule
IM_Schedule_4,nettingSetId_1,Rates,Notional,,,,,EUR,2909.047389,3414.348921,24/08/2022,Schedule
IM_Schedule_5,nettingSetId_1,Rates,PV,,,,,GBP,-699.4382929,-923.2585466,24/08/2022,Schedule
IM_Schedule_5,nettingSetId_1,Rates,Notional,,,,,GBP,9726.8436,12839.43355,24/08/2022,Schedule
IM_Schedule_6,nettingSetId_1,Rates,PV,,,,,USD,-308.7725131,-308.7725131,24/08/2022,Schedule
IM_Schedule_6,nettingSetId_1,Rates,Notional,,,,,USD,2067.191553,2067.191553,24/08/2022,Schedule
IM_Schedule_7,nettingSetId_1,Rates,PV,,,,,EUR,-1061.783673,-1246.215498,24/08/2023,Schedule
IM_Schedule_7,nettingSetId_1,Rates,Notional,,,,,EUR,8212.291231,9638.766217,24/08/2023,Schedule
IM_Schedule_8,nettingSetId_1,Rates,PV,,,,,GBP,940.5257038,1241.493929,24/08/2023,Schedule
IM_Schedule_8,nettingSetId_1,Rates,Notional,,,,,GBP,9779.89512,12909.46156,24/08/2023,Schedule
IM_Schedule_9,nettingSetId_1,Rates,PV,,,,,USD,-658.7952834,-658.7952834,24/08/2023,Schedule
IM_Schedule_9,nettingSetId_1,Rates,Notional,,,,,USD,2327.28328,2327.28328,24/08/2023,Schedule

