#TradeId,ScenarioLabel,Base NPV,Scenario NPV,Sensitivity
CDS,cds_spread_par,-64058.63,-40203.77,23854.86
CDS,cds_spread_zero,-64058.63,-49830.73,14227.90
CDS,eur_ester_par,-64058.63,-63725.85,332.78
CDS,eur_ester_par_and_FX,-64058.63,-64363.10,-304.47
CDS,eur_ester_zero,-64058.63,-64055.12,3.51
CDS,xccy_basis_per,-64058.63,-64996.71,-938.08
CDS,xccy_basis_zero,-64058.63,-63292.51,766.12
Cap,eur6m_no_caplet,4988926.69,5688615.63,699688.94
Cap,eur6m_par,4988926.69,5702737.92,713811.23
Cap,eur6m_zero,4988926.69,5551185.80,562259.11
Cap,eur_capfloor_par,4988926.69,4413744.60,-575182.09
Cap,eur_capfloor_zero,4988926.69,4411082.64,-577844.06
Cap,eur_ester_par,4988926.69,4925225.31,-63701.38
Cap,eur_ester_par_and_FX,4988926.69,4925225.31,-63701.38
Cap,eur_ester_zero,4988926.69,4938763.65,-50163.04
EUR6MSwap,eur6m_no_caplet,5924803.71,8061685.03,2136881.32
EUR6MSwap,eur6m_par,5924803.71,8061685.03,2136881.32
EUR6MSwap,eur6m_zero,5924803.71,7615306.91,1690503.20
EUR6MSwap,eur_ester_par,5924803.71,5847119.02,-77684.69
EUR6MSwap,eur_ester_par_and_FX,5924803.71,5847119.02,-77684.69
EUR6MSwap,eur_ester_zero,5924803.71,5867078.77,-57724.94
XccySwap,eur_ester_par,257976.53,1169385.55,911409.01
XccySwap,eur_ester_par_and_FX,257976.53,215657.96,-42318.58
XccySwap,eur_ester_zero,257976.53,13911.60,-244064.94
XccySwap,xccy_basis_per,257976.53,-1013541.78,-1271518.32
XccySwap,xccy_basis_zero,257976.53,1943677.74,1685701.20
