#TradeId,TradeType,NettingSet,Asset,MaturityDate,Maturity,NPV,SignedNotional,RiskWeight
CAP_EUR,CapFloor,CPTY_A,EUR-EURIBOR-6M,2026-02-09,10.011221,-6881.95,-1000000.00,0.0450
CAP_USD,CapFloor,CPTY_A,USD-LIBOR-3M,2026-02-09,10.011221,-12580.21,-883129.32,0.0450
CC_SWAP_EUR_USD,Swap,CPTY_A,USD-LIBOR-3M,2026-02-09,10.011221,397724.58,-100000000.00,0.0450
CC_SWAP_EUR_USD,Swap,CPTY_A,EUR-EURIBOR-3M,2026-02-09,10.011221,397724.58,100000000.00,0.0450
CC_SWAP_EUR_USD_RESET,Swap,CPTY_A,USD-LIBOR-6M,2026-02-05,10.000262,-19582998.61,-88312931.57,0.0450
CC_SWAP_EUR_USD_RESET,Swap,CPTY_A,EUR-EURIBOR-6M,2026-02-05,10.000262,-19582998.61,88312931.57,0.0450
CPI_Swap,Swap,CPTY_A,GBP-LIBOR-6M,2021-07-19,5.449577,1021768.35,12316211.34,0.0400
EquityOption1,EquityOption,EquityOption1,FTSE,2022-12-16,6.860536,2996203.32,-3120027.83,0.2500
EquityOption2,EquityOption,EquityOption2,SPX,2017-07-25,1.466015,0.00,15061.48,0.2500
FLOOR_EUR,CapFloor,CPTY_A,EUR-EURIBOR-6M,2026-02-09,10.011221,78817.13,1000000.00,0.0450
FLOOR_USD,CapFloor,CPTY_A,USD-LIBOR-3M,2026-02-09,10.011221,29624.74,883129.32,0.0450
FXFWD_EURUSD_10Y,FxForward,CPTY_A,EUR,2026-03-02,10.068755,179397.79,1000000.00,0.0600
FXFWD_EURUSD_10Y,FxForward,CPTY_A,USD,2026-03-02,10.068755,179397.79,-971442.25,0.0600
FX_CALL_OPTION,FxOption,CPTY_A,EURUSD,2026-03-01,10.066015,255094.07,971442.25,0.0600
FX_PUT_OPTION,FxOption,CPTY_A,EURUSD,2026-03-01,10.066015,74757.52,-971442.25,0.0600
SWAPTION,Swaption,CPTY_A,EUR-EURIBOR-3M,2038-10-01,22.652317,-3090531.68,-10000000.00,0.0550
SWAP_1M_OIS_EUR,Swap,CPTY_A,EUR-EONIA,2026-02-09,10.011221,-326621.05,-10000000.00,0.0450
SWAP_1M_OIS_EUR,Swap,CPTY_A,EUR-EURIBOR-1M,2026-02-09,10.011221,-326621.05,10000000.00,0.0450
SWAP_1M_OIS_EUR_OISLEGBPS,Swap,CPTY_A,EUR-EONIA,2026-02-09,10.011221,10107.75,-10000000.00,0.0450
SWAP_EUR,Swap,CPTY_A,EUR-EURIBOR-6M,2036-02-11,20.016393,0.00,10000000.00,0.0550
SWAP_EUR_12Y,Swap,CPTY_A,EUR-EURIBOR-6M,2028-02-09,12.010929,180822.14,10000000.00,0.0450
SWAP_SIFMA,Swap,CPTY_A,USD-LIBOR-3M,2026-02-09,10.011221,-12547.22,-8831293.16,0.0450
SWAP_SIFMA,Swap,CPTY_A,USD-SIFMA,2026-02-09,10.011221,-12547.22,8831293.16,0.0450
SWAP_USD,Swap,CPTY_A,USD-LIBOR-3M,2026-02-09,10.011221,8858.96,8831293.16,0.0450
YearOnYear_Swap,Swap,CPTY_A,EUR-EURIBOR-6M,2021-07-19,5.449577,590271.22,10000000.00,0.0400
