#TradeType,Asset,RiskWeight,SignedNotional,SMRC
FxForward,EUR,0.0600,1000000.00,60000.00
FxForward,USD,0.0600,-971442.25,58286.53
FxOption,EURUSD,0.0600,0.00,0.00
Equity,FTSE,0.2500,-3120027.83,780006.96
Equity,SPX,0.2500,15061.48,3765.37
Swap,EUR-EONIA,0.0450,-20000000.00,900000.04
Swap,EUR-EURIBOR-1M,0.0450,10000000.00,450000.02
Swap,EUR-EURIBOR-3M,0.0450,100000000.00,4500000.18
Swap,EUR-EURIBOR-3M,0.0550,-10000000.00,550000.00
Swap,EUR-EURIBOR-6M,0.0400,10000000.00,399999.99
Swap,EUR-EURIBOR-6M,0.0450,98312931.57,4424082.10
Swap,EUR-EURIBOR-6M,0.0550,10000000.00,550000.00
Swap,GBP-LIBOR-6M,0.0400,12316211.34,492648.44
Swap,USD-LIBOR-3M,0.0450,-100000000.00,4500000.18
Swap,USD-LIBOR-6M,0.0450,-88312931.57,3974082.08
Swap,USD-SIFMA,0.0450,8831293.16,397408.21
