#Sample,Regressor_0_USD,Regressor_1_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.606129,0.017568,0.000000,508152.857408,545971.802847,583224.813631,77797.481584,518679.175907
1,0.618518,0.024133,22445.954575,511893.499432,545971.802847,583224.813631,-137227.004863,518679.175907
2,0.650699,-0.019488,0.000000,522008.561569,545971.802847,583224.813631,-74668.049827,518679.175907
3,0.656742,0.039093,0.000000,523971.897792,545971.802847,583224.813631,80627.698819,518679.175907
4,0.675980,0.025430,339985.008042,530356.757438,545971.802847,583224.813631,68101.819139,518679.175907
5,0.681373,0.020056,376899.028408,532182.659765,545971.802847,583224.813631,-204793.295047,518679.175907
6,0.683021,0.009207,374578.256205,532743.965189,545971.802847,583224.813631,405512.855836,518679.175907
7,0.713762,0.025154,433615.226728,543477.577607,545971.802847,583224.813631,-66406.942017,518679.175907
8,0.717537,-0.001640,408334.849352,544829.971183,545971.802847,583224.813631,-153133.304746,518679.175907
9,0.723375,0.005290,464900.577945,546935.273416,545971.802847,583224.813631,280460.552411,518679.175907
10,0.726163,0.014554,487465.068234,547947.138080,545971.802847,583224.813631,72103.853579,518679.175907
11,0.742331,0.010691,517844.286616,553889.005853,545971.802847,583224.813631,81631.164515,518679.175907
12,0.754573,0.020319,529208.731770,558471.731125,545971.802847,583224.813631,122541.280845,518679.175907
13,0.758140,0.036524,418608.048207,559819.962691,545971.802847,583224.813631,161902.420591,518679.175907
14,0.762021,0.020717,540010.611140,561293.355361,545971.802847,583224.813631,13931.761115,518679.175907
15,0.763840,0.034077,455627.111749,561986.507687,545971.802847,583224.813631,252402.198021,518679.175907
16,0.772795,0.023776,544228.159744,565418.563742,545971.802847,583224.813631,-196873.010557,518679.175907
17,0.781542,-0.004153,539769.460378,568804.144443,545971.802847,583224.813631,47775.610999,518679.175907
18,0.813004,0.024335,595733.569688,581226.534414,545971.802847,583224.813631,7663.063652,518679.175907
19,0.828822,0.033845,544886.822911,587600.003935,545971.802847,583224.813631,-502552.673033,518679.175907
20,0.835434,0.013419,657834.303825,590286.131621,545971.802847,583224.813631,-29463.701019,518679.175907
21,0.837198,0.028563,597778.738401,591004.459640,545971.802847,583224.813631,2729.211599,518679.175907
22,0.841775,0.015466,661571.178955,592872.887818,545971.802847,583224.813631,-425110.393712,518679.175907
23,0.849614,0.007672,678273.826786,596084.013983,545971.802847,583224.813631,87191.359502,518679.175907
24,0.855344,-0.007836,644020.736025,598440.308842,545971.802847,583224.813631,-191937.400797,518679.175907
25,0.869062,0.006025,700446.676907,604106.535426,545971.802847,583224.813631,102233.520050,518679.175907
26,0.878907,0.047076,405152.627742,608191.720139,545971.802847,583224.813631,-101606.121821,518679.175907
27,0.885194,0.016257,704894.239621,610807.108032,545971.802847,583224.813631,-2512.989848,518679.175907
28,0.940475,0.012991,761143.420383,633873.156410,545971.802847,583224.813631,-348351.748145,518679.175907
29,0.944605,0.043422,520998.572362,635591.614196,545971.802847,583224.813631,-221602.299303,518679.175907
30,0.946514,-0.009890,749173.466243,636385.053735,545971.802847,583224.813631,422687.618791,518679.175907
31,0.951727,-0.004413,771653.126162,638549.819859,545971.802847,583224.813631,-134172.537024,518679.175907
32,1.001948,0.042676,559335.200694,659124.052610,545971.802847,583224.813631,206794.176383,518679.175907
33,1.004668,-0.006652,813313.269872,660218.979631,545971.802847,583224.813631,392778.224213,518679.175907
34,1.014582,0.017950,791630.748835,664188.102801,545971.802847,583224.813631,-697629.870950,518679.175907
35,1.023227,0.020490,783263.111454,667620.187905,545971.802847,583224.813631,-57292.548565,518679.175907
36,1.035586,0.011769,825716.069211,672474.971901,545971.802847,583224.813631,-40343.134777,518679.175907
37,1.039807,0.008407,836590.182185,674118.419762,545971.802847,583224.813631,319076.791600,518679.175907
38,1.091315,0.013847,842680.522784,693483.638295,545971.802847,583224.813631,560722.220924,518679.175907
39,1.099039,0.041749,592850.295002,696267.137457,545971.802847,583224.813631,99860.880340,518679.175907
40,1.106915,0.021954,804178.843421,699070.341610,545971.802847,583224.813631,190853.496279,518679.175907
41,1.147913,0.051496,367276.232216,713071.183251,545971.802847,583224.813631,234835.954006,518679.175907
42,1.149985,0.012463,865859.098085,713751.589278,545971.802847,583224.813631,421028.231751,518679.175907
43,1.152329,0.003918,893713.523487,714518.475668,545971.802847,583224.813631,351490.062377,518679.175907
44,1.158911,0.020744,822045.764582,716653.240727,545971.802847,583224.813631,409601.236495,518679.175907
45,1.242961,-0.001645,926300.645446,741575.592331,545971.802847,583224.813631,-570875.050121,518679.175907
46,1.249325,0.036084,657927.601191,743290.654049,545971.802847,583224.813631,85171.399548,518679.175907
47,1.252500,0.016381,855475.822355,744137.600937,545971.802847,583224.813631,-388218.284746,518679.175907
48,1.326640,-0.006400,943070.620466,762346.251899,545971.802847,583224.813631,154887.609499,518679.175907
49,1.676543,-0.005646,827648.498772,768982.866976,545971.802847,583224.813631,-352378.910400,518679.175907
