#ScenarioLabel,ParKey,ParShift
eur_ester_zero,DiscountCurve/EUR/1,0.009871
eur_ester_zero,IndexCurve/EUR-ESTER/11,0.010145
eur_ester_zero,DiscountCurve/EUR/31,0.010214
eur_ester_zero,DiscountCurve/EUR/6,0.009974
eur_ester_zero,DiscountCurve/EUR/15,0.010264
eur_ester_zero,DiscountCurve/EUR/8,0.010043
eur_ester_zero,DiscountCurve/EUR/5,0.009936
eur_ester_zero,DiscountCurve/EUR/35,0.010784
eur_ester_zero,DiscountCurve/EUR/9,0.010082
eur_ester_zero,DiscountCurve/EUR/2,0.009880
eur_ester_zero,DiscountCurve/EUR/0,0.009864
eur_ester_zero,DiscountCurve/EUR/7,0.010011
eur_ester_zero,DiscountCurve/EUR/11,0.010145
eur_ester_zero,IndexCurve/EUR-ESTER/27,0.010198
eur_ester_zero,DiscountCurve/EUR/19,0.010240
eur_ester_zero,IndexCurve/EUR-ESTER/29,0.010193
eur_ester_zero,DiscountCurve/EUR/27,0.010198
eur_ester_zero,DiscountCurve/EUR/12,0.010174
eur_ester_zero,DiscountCurve/EUR/22,0.010227
eur_ester_zero,DiscountCurve/EUR/16,0.010189
eur_ester_zero,DiscountCurve/EUR/17,0.010181
eur_ester_zero,DiscountCurve/EUR/4,0.009902
eur_ester_zero,DiscountCurve/EUR/14,0.010233
eur_ester_zero,IndexCurve/EUR-ESTER/2,0.009880
eur_ester_zero,DiscountCurve/EUR/10,0.010115
eur_ester_zero,DiscountCurve/EUR/18,0.010201
eur_ester_zero,DiscountCurve/EUR/33,0.010330
eur_ester_zero,DiscountCurve/EUR/3,0.009888
eur_ester_zero,IndexCurve/EUR-ESTER/16,0.010189
eur_ester_zero,DiscountCurve/EUR/23,0.010217
eur_ester_zero,IndexCurve/EUR-ESTER/0,0.009864
eur_ester_zero,DiscountCurve/EUR/24,0.010210
eur_ester_zero,IndexCurve/EUR-ESTER/23,0.010217
eur_ester_zero,IndexCurve/EUR-ESTER/6,0.009974
eur_ester_zero,IndexCurve/EUR-ESTER/17,0.010181
eur_ester_zero,IndexCurve/EUR-ESTER/13,0.010207
eur_ester_zero,DiscountCurve/EUR/25,0.010205
eur_ester_zero,DiscountCurve/EUR/29,0.010193
eur_ester_zero,IndexCurve/EUR-ESTER/28,0.010195
eur_ester_zero,DiscountCurve/EUR/26,0.010201
eur_ester_zero,DiscountCurve/EUR/28,0.010195
eur_ester_zero,DiscountCurve/EUR/32,0.010207
eur_ester_zero,DiscountCurve/EUR/13,0.010207
eur_ester_zero,DiscountCurve/EUR/36,0.010471
eur_ester_zero,DiscountCurve/EUR/21,0.010226
eur_ester_zero,IndexCurve/EUR-ESTER/8,0.010043
eur_ester_zero,DiscountCurve/EUR/34,0.010623
eur_ester_zero,IndexCurve/EUR-ESTER/1,0.009871
eur_ester_zero,IndexCurve/EUR-ESTER/21,0.010226
eur_ester_zero,IndexCurve/EUR-ESTER/3,0.009888
eur_ester_zero,IndexCurve/EUR-ESTER/25,0.010205
eur_ester_zero,IndexCurve/EUR-ESTER/4,0.009902
eur_ester_zero,IndexCurve/EUR-ESTER/26,0.010201
eur_ester_zero,IndexCurve/EUR-ESTER/5,0.009936
eur_ester_zero,IndexCurve/EUR-ESTER/7,0.010011
eur_ester_zero,IndexCurve/EUR-ESTER/34,0.010623
eur_ester_zero,IndexCurve/EUR-ESTER/36,0.010471
eur_ester_zero,IndexCurve/EUR-ESTER/10,0.010115
eur_ester_zero,IndexCurve/EUR-ESTER/15,0.010264
eur_ester_zero,IndexCurve/EUR-ESTER/18,0.010201
eur_ester_zero,IndexCurve/EUR-ESTER/9,0.010082
eur_ester_zero,IndexCurve/EUR-ESTER/12,0.010174
eur_ester_zero,IndexCurve/EUR-ESTER/31,0.010214
eur_ester_zero,IndexCurve/EUR-ESTER/14,0.010233
eur_ester_zero,IndexCurve/EUR-ESTER/20,0.010232
eur_ester_zero,IndexCurve/EUR-ESTER/19,0.010240
eur_ester_zero,IndexCurve/EUR-ESTER/30,0.010134
eur_ester_zero,IndexCurve/EUR-ESTER/32,0.010207
eur_ester_zero,IndexCurve/EUR-ESTER/33,0.010330
eur_ester_zero,DiscountCurve/EUR/30,0.010134
eur_ester_zero,IndexCurve/EUR-ESTER/24,0.010210
eur_ester_zero,IndexCurve/EUR-ESTER/35,0.010784
eur_ester_zero,DiscountCurve/EUR/20,0.010232
eur_ester_zero,IndexCurve/EUR-ESTER/22,0.010227
