#Tenor,Date,CHF,EUR,GBP,JPY,USD,BANK_EUR_BORROW,BANK_EUR_LEND,BENCHMARK_EUR,BOND_YIELD_EUR,CHF-LIBOR-3M,CHF-LIBOR-6M,CHF-TOIS,EUR-EONIA,EUR-EURIBOR-12M,EUR-EURIBOR-1M,EUR-EURIBOR-3M,EUR-EURIBOR-6M,GBP-LIBOR-3M,GBP-LIBOR-6M,GBP-SONIA,JPY-LIBOR-6M,JPY-TONAR,USD-FedFunds,USD-LIBOR-3M,USD-LIBOR-6M,USD-SIFMA,EUHICP,EUHICPXT,FRHICP,UKRPI,USCPI,ZACPI,BANK,BOND_YIELD_EUR_OVER_OIS,CPTY_A,CPTY_B,CPTY_C
1W,2016-02-12,1.013091071414936,0.999611243782423,0.983244860600945,1.000011725137476,0.981442992136356,0.999630414592845,0.999515395245008,0.999707101511233,0.999424823011986,1.000140311351178,1.000140311351178,1.000147252357046,0.999611243782423,0.999611262286888,0.999611262286888,0.999611262286888,0.999613138857634,0.999885251524888,0.999885251524888,0.999888376844681,1.000011725137476,0.999987167090150,0.999913146694146,0.999887059979111,0.999887059979111,0.999903481930480,100.417443624834164,100.344059388051875,99.976677471484905,261.081383778620136,237.608969660153235,116.687535568839934,0.999675346645217,0.999809734646536,0.999808237566849,0.999808237566849,1.000000000000000
2W,2016-02-19,1.026353518980662,0.999222707526699,0.966770455898171,1.000059664666665,0.963230346813563,0.999261034612160,0.999031094149044,0.999414357655650,0.998849976852540,1.000303552235665,1.000284803187909,1.000297490528780,0.999222707526699,0.999222809667053,0.999222809667053,0.999222809667053,0.999226427376812,0.999771857296197,0.999771857296197,0.999782337798107,1.000059664666665,0.999974334344983,0.999826490204366,0.999756559798094,0.999756559798094,0.999806973176699,100.417443624834164,100.344059388051875,99.976677471484905,261.081383778620136,237.608969660153235,116.687535568839934,0.999350798690235,0.999619505493978,0.999616511906528,0.999616511906528,1.000000000000000
3W,2016-02-26,1.039789586194608,0.998834512905272,0.950572082142709,1.000155896521228,0.945355673693242,0.998891981749623,0.998547218274686,0.999121890194147,0.998275461331376,1.000497372027464,1.000439303015260,1.000447751268699,0.998834512905272,0.998834686566968,0.998834686566968,0.998834686566968,0.998839865499635,0.999658475927232,0.999658475927232,0.999671698679706,1.000155896521228,0.999961501764498,0.999739841224586,0.999602649633645,0.999602649633645,0.999710473737755,100.417443624834164,100.344059388051875,99.976677471484905,261.081383778620136,237.608969660153235,116.687535568839934,0.999026356100836,0.999429312535435,0.999424823011986,0.999424823011986,1.000000000000000
4W,2016-03-04,1.053401545923987,0.998446631110934,0.934645114397558,1.000252137635808,0.927812701022576,0.998523227215051,0.998063738715935,0.998829670396938,0.997701276258319,1.000691229373976,1.000642998646221,1.000598034580193,0.998446631110934,0.998446714223591,0.998446714223591,0.998446714223591,0.998453453168228,0.999545107416536,0.999545107416536,0.999561071804985,1.000252137635808,0.999948669348692,0.999653199754155,0.999448763163304,0.999448763163304,0.999613983612752,100.495427075525825,100.510898961807868,100.013417738267279,262.095002443622775,239.025060168585725,116.778154253680810,0.998702018842811,0.999239155764024,0.999233170876173,0.999233170876173,1.000000000000000
5W,2016-03-11,1.067191700790282,0.998058973662652,0.918985005217181,1.000301560616602,0.910595273433711,0.998154682536505,0.997580566932632,0.998537609820756,0.997127421443303,1.000876595096415,1.000878986614783,1.000751076912176,0.998058973662652,0.998059061388870,0.998287221697565,0.998059061388870,0.998067190324736,0.999413206601888,0.999413206601888,0.999453267041288,1.000301560616602,0.999936918802784,0.999566565792421,0.999276808189990,0.999276808189990,0.999517502800789,100.495427075525825,100.510898961807868,100.013417738267279,262.095002443622775,239.025060168585725,116.778154253680810,0.998377786881966,0.999049035172858,0.999041555492040,0.999041555492040,1.000000000000000
6W,2016-03-18,1.081162383558754,0.997671908864135,0.903587283349126,1.000233921358687,0.893697349784004,0.997786716072567,0.997098070940569,0.998246077036022,0.996553896696371,1.001040668558644,1.001051432200492,1.000920563993664,0.997671908864135,0.997671980925189,0.998698714783679,0.997671980925189,0.997681076911330,0.999267416383636,0.999267416383636,0.999347581083982,1.000233921358687,0.999931658574581,0.999468352096582,0.999059661532625,0.999059661532625,0.999421031300967,100.495427075525825,100.510898961807868,100.013417738267279,262.095002443622775,239.025060168585725,116.778154253680810,0.998053660184114,0.998858950755053,0.998849976852540,0.998849976852540,1.000000000000000
7W,2016-03-29,1.103486748620390,0.997063967442882,0.879910443807962,1.000127640336852,0.867774775192166,0.997208757106191,0.996340334406189,0.997788126047750,0.995653309938280,1.001298552628656,1.001322478151946,1.001186958832299,0.997063967442882,0.997064014911768,0.999345689498774,0.997064014911768,0.997074629032417,0.999038360436607,0.999038360436607,0.999181525729956,1.000127640336852,0.999923392557600,0.999314035785636,0.998718526403693,0.998718526403693,0.999269452041985,100.495427075525825,100.510898961807868,100.013417738267279,262.095002443622775,239.025060168585725,116.778154253680810,0.997544530822366,0.998560319738333,0.998548998926961,0.998548998926961,1.000000000000000
8W,2016-04-01,1.109654816955047,0.996898229540468,0.873561489867225,1.000098656563619,0.860836408178808,0.997051190043588,0.996133778944565,0.997663266789214,0.995407836647479,1.001368896177081,1.001396412511123,1.001259624274437,0.996898229540468,0.996898270307598,0.999522209877052,0.996898270307598,0.996909298143559,0.998975899745832,0.998975899745832,0.999136242695084,1.000098656563619,0.999921138201191,0.999271953654293,0.998625509768029,0.998625509768029,0.999228116234154,100.578855666794581,100.623298854690731,100.052706747126820,263.275059158874910,239.759636978193868,116.875100325595369,0.997405722440707,0.998478890412000,0.998466929779252,0.998466929779252,1.000000000000000
9W,2016-04-08,1.124181387409732,0.996511614898908,0.858924845330853,1.000031031025846,0.844861860182922,0.996683630378553,0.995651982714935,0.997371989277447,0.994835300966150,1.001533050342109,1.001568947246283,1.001429197483444,0.996511614898908,0.996511640037264,0.999934212024171,0.996511640037264,0.996523632673644,0.998837948995980,0.998837948995980,0.999028830785157,1.000031031025846,0.999915878056004,0.999173768905948,0.998408504640292,0.998408504640292,0.999131672665366,100.578855666794581,100.623298854690731,100.052706747126820,263.275059158874910,239.759636978193868,116.875100325595369,0.997081911326837,0.998288914472989,0.998275461331376,0.998275461331376,1.000000000000000
10W,2016-04-15,1.138898126235654,0.996125433043581,0.844533439814022,0.999998750104473,0.829183751999815,0.996316489117724,0.995170702093042,0.997081079928629,0.994263094594170,1.001697231416890,1.001731082583041,1.001600716306553,0.996125433043581,0.996125532297903,1.000134679199603,0.996125532297903,0.996138116402713,0.998710383526388,0.998710383526388,0.998919084711583,0.999998750104473,0.999915683127019,0.999075593804870,0.998263190912309,0.998263190912309,0.999035238405124,100.578855666794581,100.623298854690731,100.052706747126820,263.275059158874910,239.759636978193868,116.875100325595369,0.996758205339332,0.998098974679818,0.998084029599956,0.998084029599956,1.000000000000000
11W,2016-04-22,1.153807522940541,0.995739777834434,0.830383164302775,0.999992975221877,0.813796582593548,0.995949860165334,0.994690030703971,0.996790632816593,0.993691217342128,1.001861439405835,1.001885421127697,1.001774820810113,0.995739777834434,0.995739853488591,1.000176405542472,0.995739853488591,0.995752749273048,0.998582834348677,0.998582834348677,0.998809350693918,0.999992975221877,0.999922241821379,0.998977428350114,0.998171627070290,0.998171627070290,0.998938813452531,100.578855666794581,100.623298854690731,100.052706747126820,263.275059158874910,239.759636978193868,116.875100325595369,0.996434604444061,0.997909071025609,0.997892634577950,0.997892634577950,1.000000000000000
12W,2016-04-29,1.168912099622446,0.995354271933732,0.816469978630253,0.999987200372631,0.798694953010952,0.995583366126689,0.994209591481085,0.996500270311040,0.993119669020722,1.002025674313358,1.002039783451576,1.001948955577608,0.995354271933732,0.995354324005985,1.000218133626194,0.995354324005985,0.995367531226950,0.998455301460766,0.998455301460766,0.998699628730837,0.999987200372631,0.999928800558758,0.998879272540730,0.998080071626794,0.998080071626794,0.998842397806689,100.578855666794581,100.623298854690731,100.052706747126820,263.275059158874910,239.759636978193868,116.875100325595369,0.996111108606907,0.997719203503486,0.997701276258319,0.997701276258319,1.000000000000000
13W,2016-05-06,1.184214411396385,0.994968915283670,0.803088058922082,0.999981425556733,0.783994573963077,0.995217006952143,0.993729384312245,0.996209992387326,0.992548449440757,1.002189936143869,1.002194169558341,1.002123120614297,0.994968915283670,0.994968943792268,1.000259863450843,0.994968943792268,0.994982462206746,0.998324898948342,0.998315665839753,0.998591570183398,0.999981425556733,0.999935359339158,0.998781126375771,0.997988524581053,0.997988524581053,0.998745991466698,100.659658957497101,100.641646012233110,100.090743063947571,263.836245260357771,240.532102975520672,116.968995733779209,0.995787717793761,0.997529372106574,0.997509954634025,0.997509954634025,1.000000000000000
14W,2016-05-13,1.205702781055589,0.994583975311771,0.791687328833676,0.999986583755283,0.770277841314275,0.994851050149201,0.993249676211824,0.995920066865449,0.991977558413150,1.002366659459160,1.002348291549858,1.002297360302826,0.994583975311771,0.994584071380212,1.000312245087032,0.995278291990051,0.994597542154783,0.998177200430283,0.998103348880227,0.998493430487379,0.999986583755283,0.999943320362316,0.998679868446993,0.997859220071100,0.997859408390903,0.998644188431660,100.659658957497101,100.641646012233110,100.090743063947571,263.836245260357771,240.532102975520672,116.968995733779209,0.995464431970528,0.997339576828000,0.997318669698032,0.997318669698032,1.000000000000000
15W,2016-05-20,1.227581071683637,0.994199540777126,0.780448444815703,0.999999941837004,0.756801095982741,0.994485584526053,0.992770555680149,0.995630582742527,0.991406995748924,1.002552741601121,1.002502221283457,1.002471741249258,0.994199540777126,0.994199616682910,1.000372617511960,0.996109151139316,0.994212771013431,0.998029523763680,0.997891077075247,0.998395300436345,0.999999941837004,0.999953151066451,0.998570818099462,0.997701612526297,0.997702130324045,0.998509963694196,100.659658957497101,100.641646012233110,100.090743063947571,263.836245260357771,240.532102975520672,116.968995733779209,0.995141251103122,0.997149817660891,0.997127421443303,0.997127421443303,1.000000000000000
16W,2016-05-27,1.249856358659646,0.993815254837186,0.769369109282807,1.000013300097166,0.743560139161520,0.994120253159307,0.992291666265069,0.995341182763965,0.990836761259213,1.002738858287891,1.002656174655908,1.002646152534706,0.993815254837186,0.993815310595884,1.000432993580580,0.996940703890493,0.993828148725082,0.997881868945299,0.997678850415211,0.998297180029347,1.000013300097166,0.999962981867235,0.998461779659629,0.997544029874924,0.997544877046641,0.998375756997472,100.659658957497101,100.641646012233110,100.090743063947571,263.836245260357771,240.532102975520672,116.968995733779209,0.994818175157469,0.996960094598378,0.996936209862805,0.996936209862805,1.000000000000000
17W,2016-06-03,1.272535845750262,0.993431117434513,0.758447057266415,1.000026658535771,0.730550845505789,0.993755055999641,0.991813007855100,0.995051866905307,0.990266854755259,1.002925009525881,1.002810151670841,1.002820594164446,0.993431117434513,0.993431153061690,1.000493373293111,0.997772950822601,0.993443675232151,0.997734235971909,0.997466668890516,0.998199069265438,1.000026658535771,0.999972812764667,0.998352753126193,0.997386472113049,0.997387648554785,0.998241568339063,100.743223889641783,100.751583194822615,100.130062449085358,264.234027097057776,241.123020308555795,117.066100237139906,0.994495204099505,0.996770407633590,0.996745034949505,0.996745034949505,1.000000000000000
