#Sample,Regressor_0_USD,Regressor_1_EUR-EURIBOR-3M,Regressor_2_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.606083,0.000592,0.017584,0.000000,1361546.871516,1591176.796010,1766792.409980,59031.305184,1053093.273589
1,0.618568,0.008740,0.024091,209060.964821,1366417.392350,1591176.796010,1766792.409980,-579300.807380,1053093.273589
2,0.650522,0.002474,-0.019394,0.000000,1380970.644166,1591176.796010,1766792.409980,972087.564097,1053093.273589
3,0.656894,0.001938,0.039013,912439.060935,1384262.137971,1591176.796010,1766792.409980,-637024.331339,1053093.273589
4,0.675995,0.001672,0.025412,784433.735795,1394972.530306,1591176.796010,1766792.409980,-172004.679782,1053093.273589
5,0.681396,-0.004743,0.020032,519679.933056,1398240.508500,1591176.796010,1766792.409980,-523501.156451,1053093.273589
6,0.682944,-0.007298,0.009226,0.000000,1399197.528352,1591176.796010,1766792.409980,-74636.750939,1053093.273589
7,0.713872,-0.004145,0.025105,953791.949682,1420290.085884,1591176.796010,1766792.409980,-433941.549065,1053093.273589
8,0.717591,0.013730,-0.001655,831091.502933,1423090.546068,1591176.796010,1766792.409980,699243.466399,1053093.273589
9,0.723283,-0.005187,0.005321,564927.540864,1427492.735988,1591176.796010,1766792.409980,369645.579404,1053093.273589
10,0.726198,-0.003073,0.014529,867742.210029,1429801.569707,1591176.796010,1766792.409980,-471035.089368,1053093.273589
11,0.742204,-0.002723,0.010743,924006.010669,1443153.321516,1591176.796010,1766792.409980,-377999.577424,1053093.273589
12,0.754629,-0.005846,0.020285,1112689.677477,1454329.497077,1591176.796010,1766792.409980,646822.965767,1053093.273589
13,0.758113,0.011769,0.036511,1576731.780232,1457593.546633,1591176.796010,1766792.409980,1138455.086356,1053093.273589
14,0.762085,0.000050,0.020689,1252428.784663,1461386.965351,1591176.796010,1766792.409980,399994.470629,1053093.273589
15,0.763916,-0.001982,0.034029,1406679.363122,1463160.904652,1591176.796010,1766792.409980,941987.779991,1053093.273589
16,0.772734,0.014275,0.023788,1529389.421134,1471934.422081,1591176.796010,1766792.409980,662797.964816,1053093.273589
17,0.781284,0.007101,-0.004064,1111514.362873,1480808.323651,1591176.796010,1766792.409980,282087.125835,1053093.273589
18,0.813065,0.017132,0.024298,1735255.211762,1517065.419220,1591176.796010,1766792.409980,123954.905206,1053093.273589
19,0.828966,0.001676,0.033779,1729513.505693,1537195.059069,1591176.796010,1766792.409980,886476.479769,1053093.273589
20,0.835547,0.021497,0.013394,1761150.619350,1545921.892843,1591176.796010,1766792.409980,390064.304971,1053093.273589
21,0.837361,0.016964,0.028497,1865772.873021,1548367.402544,1591176.796010,1766792.409980,305491.040250,1053093.273589
22,0.841818,0.011614,0.015436,1702162.335818,1554454.273428,1591176.796010,1766792.409980,-754589.390033,1053093.273589
23,0.849578,0.002074,0.007686,1545582.720885,1565307.744184,1591176.796010,1766792.409980,21145.985144,1053093.273589
24,0.855075,-0.006945,-0.007758,1266292.562916,1573192.624150,1591176.796010,1766792.409980,245744.068504,1053093.273589
25,0.869027,0.011590,0.006037,1715889.765157,1593943.805940,1591176.796010,1766792.409980,1035072.163418,1053093.273589
26,0.879078,0.017072,0.047018,2166091.421060,1609547.075187,1591176.796010,1766792.409980,141191.257214,1053093.273589
27,0.885195,0.002849,0.016254,1788309.763363,1619309.338254,1591176.796010,1766792.409980,-11883.860059,1053093.273589
28,0.940419,-0.003250,0.012992,1901889.898688,1716398.655676,1591176.796010,1766792.409980,-299197.618980,1053093.273589
29,0.944843,0.011289,0.043342,2291764.702424,1724851.036506,1591176.796010,1766792.409980,-295915.892115,1053093.273589
30,0.946484,-0.011106,-0.009874,1620667.075493,1728011.738585,1591176.796010,1766792.409980,1124388.337456,1053093.273589
31,0.951593,0.001917,-0.004372,1833103.633791,1737931.705109,1591176.796010,1766792.409980,-207549.033904,1053093.273589
32,1.002177,0.001023,0.042603,2373834.163083,1842605.903467,1591176.796010,1766792.409980,-863387.977322,1053093.273589
33,1.004626,0.002856,-0.006637,2010049.706814,1847950.037944,1591176.796010,1766792.409980,-390367.901288,1053093.273589
34,1.014460,-0.004011,0.017977,2184394.208695,1869641.653550,1591176.796010,1766792.409980,663918.934025,1053093.273589
35,1.023180,-0.002634,0.020494,2242179.056171,1889176.136962,1591176.796010,1766792.409980,-501281.704404,1053093.273589
36,1.035587,0.010394,0.011769,2317583.693801,1917430.417011,1591176.796010,1766792.409980,-356741.961635,1053093.273589
37,1.039789,-0.000319,0.008405,2218621.295873,1927112.955401,1591176.796010,1766792.409980,-366925.594424,1053093.273589
38,1.091344,0.006829,0.013845,2464483.447166,2049886.499715,1591176.796010,1766792.409980,19114.738938,1053093.273589
39,1.099120,-0.006228,0.041714,2581329.904792,2068914.277879,1591176.796010,1766792.409980,-442897.128374,1053093.273589
40,1.106869,0.002865,0.021964,2533882.668790,2087976.983012,1591176.796010,1766792.409980,490954.470000,1053093.273589
41,1.148067,0.024310,0.051450,2963002.300588,2190418.826020,1591176.796010,1766792.409980,957648.446496,1053093.273589
42,1.149949,0.010455,0.012478,2637911.560912,2195123.349146,1591176.796010,1766792.409980,879257.015576,1053093.273589
43,1.152250,0.000471,0.003957,2516508.184137,2200878.315548,1591176.796010,1766792.409980,-52286.596588,1053093.273589
44,1.158944,-0.002019,0.020744,2628934.473168,2217616.623121,1591176.796010,1766792.409980,-767185.740519,1053093.273589
45,1.242686,-0.008762,-0.001559,2653420.684700,2423857.595699,1591176.796010,1766792.409980,-2719084.177456,1053093.273589
46,1.249607,0.012306,0.036019,3032567.599640,2440334.762627,1591176.796010,1766792.409980,-3033550.157378,1053093.273589
47,1.252393,0.012358,0.016406,2925962.189599,2446928.755852,1591176.796010,1766792.409980,-834653.407619,1053093.273589
48,1.326565,-0.001874,-0.006366,2875924.798840,2612056.775033,1591176.796010,1766792.409980,937663.836172,1053093.273589
49,1.676540,-0.020828,-0.005630,3518790.266151,2699550.337855,1591176.796010,1766792.409980,-533958.975450,1053093.273589
