#TradeId,ScenarioLabel,Base NPV,Scenario NPV,Sensitivity
CDS,cds_spread_par,-64058.63,-40203.77,23854.858478
CDS,cds_spread_zero,-64058.63,-49830.74,14227.895862
CDS,eur_ester_par,-64058.63,-63725.85,332.784874
CDS,eur_ester_par_and_FX,-64058.63,-64363.11,-304.473598
CDS,eur_ester_zero,-64058.63,-64055.12,3.509966
CDS,xccy_basis_per,-64058.63,-64996.71,-938.078626
CDS,xccy_basis_zero,-64058.63,-63292.52,766.117032
Cap,eur6m_no_caplet,4988926.69,5710609.13,721682.440703
Cap,eur6m_par,4988926.69,5721598.62,732671.931818
Cap,eur6m_zero,4988926.69,5551185.80,562259.108469
Cap,eur_capfloor_par,4988926.69,4413744.60,-575182.086992
Cap,eur_capfloor_zero,4988926.69,4411082.64,-577844.055261
Cap,eur_ester_par,4988926.69,4923338.02,-65588.667670
Cap,eur_ester_par_and_FX,4988926.69,4923338.02,-65588.667670
Cap,eur_ester_zero,4988926.69,4938763.65,-50163.036666
EUR6MSwap,eur6m_no_caplet,5924803.71,8055907.11,2131103.399852
EUR6MSwap,eur6m_par,5924803.71,8055907.11,2131103.399852
EUR6MSwap,eur6m_zero,5924803.71,7615306.91,1690503.198975
EUR6MSwap,eur_ester_par,5924803.71,5847515.87,-77287.836837
EUR6MSwap,eur_ester_par_and_FX,5924803.71,5847515.87,-77287.836837
EUR6MSwap,eur_ester_zero,5924803.71,5867078.77,-57724.935497
XccySwap,eur_ester_par,268883.09,1184696.63,915813.540612
XccySwap,eur_ester_par_and_FX,268883.09,230969.04,-37914.051013
XccySwap,eur_ester_zero,268883.09,29452.27,-239430.828463
XccySwap,xccy_basis_per,268883.09,-1002635.22,-1271518.317951
XccySwap,xccy_basis_zero,268883.09,1954584.28,1685701.183803
