#Id,NettingSet,DateIndex,Date,Sample,Depth,Value
XCCY_Swap_EUR_USD,CPTY_A,0,2016-02-05,0,0,-12253164.0000
XCCY_Swap_EUR_USD_RESET,CPTY_A,0,2016-02-05,0,0,-12593288.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,1,0,-12308333.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,2,0,-11491882.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,3,0,-13117470.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,4,0,-13988402.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,5,0,-7973597.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,6,0,-12787380.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,7,0,-14337579.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,8,0,-8176682.5000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,9,0,-14870255.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,10,0,-11197945.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,11,0,-12562186.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,12,0,-7851413.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,13,0,-15409408.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,14,0,-15352336.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,15,0,-12679672.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,16,0,-6074437.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,17,0,-14579296.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,18,0,-9823516.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,19,0,-12458972.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,20,0,-10483597.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,21,0,-17592670.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,22,0,-12483143.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,23,0,-10680513.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,24,0,-14524561.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,25,0,-6558007.5000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,26,0,-14855947.0000
XCCY_Swap_EUR_USD,CPTY_A,1,2016-03-07,27,0,-16359072.0000
