#Tenor,Date,EUR,GBP,USD,BANK_EUR_BORROW,BANK_EUR_LEND,EUR-EONIA,EUR-EURIBOR-6M,GBP-LIBOR-3M,GBP-LIBOR-6M,GBP-SONIA,BANK,CPTY_A,CPTY_B
1M,2016-03-07,0.998296691788901,0.997878964909460,0.999616069994017,0.998296691788901,0.998296691788901,0.998296691788901,0.998212504743345,0.997794217144246,0.997794217144246,0.997878964909460,0.998565978079054,0.999151045497464,0.999151045497464
2M,2016-04-05,0.996705901056259,0.995898843764204,0.999215846902456,0.996705901056259,0.996705901056259,0.996705901056259,0.996543224454436,0.995735147820059,0.995735147820059,0.995898843764204,0.997226335449169,0.998357514741305,0.998357514741305
3M,2016-05-05,0.995062922979132,0.993854577270085,0.998795146666041,0.995062922979132,0.995062922979132,0.995062922979132,0.994819320253073,0.993609547447731,0.993609547447731,0.993854577270085,0.995842389464433,0.997537284048252,0.997537284048252
4M,2016-06-06,0.993313398067447,0.991678651315316,0.998306031113500,0.993313398067447,0.993313398067447,0.993313398067447,0.992983775975320,0.991347241511655,0.991347241511655,0.991678651315316,0.994368297313865,0.996663114066715,0.996663114066715
5M,2016-07-05,0.991730548238081,0.989710833638203,0.997854497704271,0.991730548238081,0.991730548238081,0.991730548238081,0.991323239529858,0.989301476303218,0.989301476303218,0.989710833638203,0.993034286151728,0.995871559238138,0.995871559238138
6M,2016-08-05,0.990041325452069,0.987611622230569,0.997372049898703,0.990041325452069,0.990041325452069,0.990041325452069,0.989551253941386,0.987119292067616,0.987119292067616,0.987611622230569,0.991610253217135,0.995026109593975,0.995026109593975
7M,2016-09-05,0.988354979933099,0.985516863323993,0.996868764789459,0.988354979933099,0.988354979933099,0.988354979933099,0.987782435768748,0.984941921256589,0.984941921256589,0.985516863323993,0.990188262376987,0.994181377698095,0.994181377698095
8M,2016-10-05,0.986725767581964,0.983493907764100,0.996377065137985,0.986725767581964,0.986725767581964,0.986725767581964,0.986073686715754,0.982839361234350,0.982839361234350,0.983493907764100,0.988814083796722,0.993364578036241,0.993364578036241
9M,2016-11-07,0.984936735701104,0.981273452446178,0.995836475636551,0.984936735701104,0.984936735701104,0.984936735701104,0.984197476668543,0.980531728878718,0.980531728878718,0.981273452446178,0.987304689932201,0.992466873468628,0.992466873468628
10M,2016-12-05,0.983421313211994,0.979393361556942,0.995372507571466,0.983421313211994,0.983421313211994,0.983421313211994,0.982608340659830,0.978577987234168,0.978577987234168,0.979393361556942,0.986025799090493,0.991705820965619,0.991705820965619
11M,2017-01-05,0.981746243614230,0.977316033869637,0.994857046148752,0.981746243614230,0.981746243614230,0.981746243614230,0.980851932911751,0.976419456686909,0.976419456686909,0.977316033869637,0.984611816479979,0.990863907843720,0.990863907843720
1Y,2017-02-06,0.980020132158871,0.975176317081342,0.994325236927499,0.980020132158871,0.980020132158871,0.980020132158871,0.979042159904607,0.974196290113442,0.974196290113442,0.975176317081342,0.983154348345076,0.989995585929465,0.989995585929465
1Y1M,2017-03-06,0.978512274350119,0.973307908122990,0.993809592131053,0.978512274350119,0.978512274350119,0.978512274350119,0.977461347936242,0.972255172038521,0.972255172038521,0.973307908122990,0.981880833588279,0.989236428481714,0.989236428481714
1Y2M,2017-04-05,0.976899286794559,0.971310013700784,0.993239371190095,0.976899286794559,0.976899286794559,0.976899286794559,0.975770453168180,0.970179694477839,0.970179694477839,0.971310013700784,0.980518184018338,0.988423691491862,0.988423691491862
1Y3M,2017-05-05,0.975288958100745,0.969316220326242,0.992669477426419,0.975288958100745,0.975288958100745,0.975288958100745,0.974082483451961,0.968108647448594,0.968108647448594,0.969316220326242,0.979157425527015,0.987611622230569,0.987611622230569
1Y4M,2017-06-05,0.973627740410217,0.967260266609101,0.992072074769069,0.973627740410217,0.973627740410217,0.973627740410217,0.972341315633200,0.965973209991545,0.965973209991545,0.967260266609101,0.977753292314752,0.986773184897119,0.986773184897119
1Y5M,2017-07-05,0.972022804559951,0.965274786089163,0.991492229826152,0.972022804559951,0.972022804559951,0.972022804559951,0.970659277927212,0.963911142563964,0.963911142563964,0.965274786089163,0.976396370927039,0.985962471659243,0.985962471659243
1Y6M,2017-08-07,0.970260430612281,0.963095464473536,0.990854791818887,0.970260430612281,0.970260430612281,0.970260430612281,0.968812396995087,0.961647952231679,0.961647952231679,0.963095464473536,0.974905932313988,0.985071456382603,0.985071456382603
1Y7M,2017-09-05,0.968714315800961,0.961184365270962,0.990343059732728,0.968714315800961,0.968714315800961,0.968714315800961,0.967192281608564,0.959663475106952,0.959663475106952,0.961184365270962,0.973598031208077,0.984289107706518,0.984289107706518
1Y8M,2017-10-05,0.967117479279603,0.959211356661806,0.989821917570646,0.967117479279603,0.967117479279603,0.967117479279603,0.965519151134265,0.957614877099276,0.957614877099276,0.959211356661806,0.972246876472045,0.983480435337093,0.983480435337093
1Y9M,2017-11-06,0.965417088195328,0.957111277902997,0.989266334864832,0.965417088195328,0.965417088195328,0.965417088195328,0.963737668691328,0.955434525847115,0.955434525847115,0.957111277902997,0.970807711495555,0.982618583767484,0.982618583767484
1Y10M,2017-12-05,0.963878691274185,0.955212053301234,0.988610665473392,0.963878691274185,0.963878691274185,0.963878691274185,0.962126039617978,0.953462870880953,0.953462870880953,0.955212053301234,0.969505308425262,0.981838183175094,0.981838183175094
1Y11M,2018-01-05,0.962236908784834,0.953186015017275,0.987858450766294,0.962236908784834,0.962236908784834,0.962236908784834,0.960406243885856,0.951359738826766,0.951359738826766,0.953186015017275,0.968115016560506,0.981004647228726,0.981004647228726
2Y,2018-02-05,0.960597922757078,0.951164274031612,0.987106808404798,0.960597922757078,0.960597922757078,0.960597922757078,0.958689522280448,0.949261245825207,0.949261245825207,0.951164274031612,0.966726718404761,0.980171818916453,0.980171818916453
