#Type,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-02-05,0.000000,78232.95,0.00,78232.95,78232.95,78232.95,78232.95,78232.95,78232.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-05-05,0.245902,250895.30,169641.61,796286.89,0.00,252150.00,252150.00,252150.00,252150.00
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-08-05,0.497268,337757.31,243853.89,1261104.56,0.00,341173.10,341173.10,297150.69,297150.69
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-11-07,0.754098,347761.72,355199.94,1623996.94,0.00,353095.19,353095.19,316204.25,316204.25
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-02-06,1.003002,423837.28,448204.25,1922516.31,0.00,432480.71,432480.71,345059.24,345059.24
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-05-05,1.244098,583776.56,441575.84,1963374.47,0.00,598592.60,598592.60,394191.92,394191.92
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-08-07,1.501632,631199.25,468251.81,2663961.44,0.00,650582.94,650582.94,438163.73,438163.73
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-11-06,1.750947,604706.00,536331.56,3166683.25,0.00,626395.81,650582.94,464965.85,468409.82
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-02-05,2.000262,665179.81,567672.38,2803507.25,0.00,692470.46,692470.46,493322.30,496337.01
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-05-07,2.249577,777147.13,467672.94,2896615.38,0.00,813088.48,813088.48,528761.19,531441.79
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-08-06,2.498892,748430.44,467333.25,3328932.40,0.00,786972.70,813088.48,554523.02,559541.75
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-11-05,2.748207,717382.25,543854.94,3029020.25,0.00,758110.49,813088.48,572992.30,582543.30
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-02-05,3.000262,655777.50,543118.38,2950663.70,0.00,696523.74,813088.48,583370.29,601911.61
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-05-06,3.246837,709778.88,374920.81,2968884.13,0.00,757621.48,813088.48,596603.49,617949.07
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-08-05,3.496152,751156.56,431048.13,3080835.28,0.00,805811.35,813088.48,611522.37,631864.71
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-11-05,3.748207,706775.94,564135.44,2260670.81,0.00,762047.85,813088.48,621644.72,644051.42
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-02-05,4.000000,766786.06,636090.94,2849591.00,0.00,830945.03,830945.03,634819.80,655816.03
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-05-05,4.245902,883759.81,525939.38,2950464.88,0.00,962458.62,962458.62,653795.02,673575.26
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-08-05,4.497268,868600.25,582738.31,2780100.25,0.00,950747.75,962458.62,670392.62,689721.84
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-11-05,4.748634,786863.50,624778.88,3270847.75,0.00,865649.84,962458.62,680728.45,704159.00
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-02-05,5.000262,734401.75,620050.94,3534686.30,0.00,812033.76,962458.62,687336.12,717157.40
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-05-05,5.244098,892544.75,571643.13,3519929.50,0.00,991736.37,991736.37,701489.87,729924.55
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-08-05,5.496152,845697.81,608741.63,3091549.00,0.00,944450.03,991736.37,712632.08,741931.29
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-11-05,5.748207,768333.81,648145.63,2959427.38,0.00,862404.97,991736.37,719199.51,752885.07
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2022-02-07,6.005741,754815.25,680509.00,2657552.13,0.00,851622.75,991736.37,724878.00,763127.33
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2022-05-05,6.244098,850695.19,598406.50,3034537.63,0.00,964403.25,991736.37,734021.40,771854.03
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2022-08-05,6.496152,820239.13,629098.38,2865411.09,0.00,934593.37,991736.37,741803.72,780385.61
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2022-11-07,6.753687,761636.56,695632.19,2901813.06,0.00,872318.87,991736.37,746780.58,788444.92
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2023-02-06,7.003002,782550.88,686128.75,3118262.59,0.00,900769.55,991736.37,752262.76,795682.33
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2023-05-05,7.244098,823624.06,571528.31,3478999.63,0.00,952647.30,991736.37,758931.90,802207.34
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2023-08-07,7.501632,788007.38,580918.44,3027944.38,0.00,916175.51,991736.37,764330.14,808713.96
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2023-11-06,7.750947,742256.63,634827.06,2837138.13,0.00,867313.55,991736.37,767642.68,814601.01
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2024-02-05,8.000000,795996.94,716359.69,2857141.38,0.00,934774.95,991736.37,772845.78,820115.52
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2024-05-06,8.248634,866971.06,613479.44,2752540.00,0.00,1023231.25,1023231.25,780393.01,826237.93
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2024-08-05,8.497268,806171.13,566121.00,2692015.19,0.00,956246.69,1023231.25,785538.57,832002.04
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2024-11-05,8.748634,765037.00,594502.50,2784804.00,0.00,912058.17,1023231.25,789173.73,837496.44
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2025-02-05,9.000262,741655.25,561521.06,3133253.50,0.00,888668.11,1023231.25,791955.38,842689.19
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2025-05-05,9.244098,793994.25,435528.56,3291666.66,0.00,956050.36,1023231.25,796283.79,847451.43
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2025-08-05,9.496152,811362.19,466906.78,3316073.50,0.00,981919.21,1023231.25,801211.08,852117.12
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2025-11-05,9.748207,691574.50,461776.00,2534271.88,0.00,841196.66,1023231.25,802244.97,856541.54
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2026-02-05,10.000262,663871.81,486470.06,2757730.00,0.00,811596.92,1023231.25,802480.68,860742.93
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2026-05-05,10.244098,692620.44,427309.19,2602992.63,0.00,850897.65,1023231.25,803633.13,864610.56
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2026-08-05,10.496152,692643.38,485770.53,2893034.00,0.00,855242.39,1023231.25,804872.48,868419.68
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2026-11-05,10.748207,625638.38,507947.41,2838937.25,0.00,776426.65,1023231.25,804205.40,872050.15
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2027-02-05,11.000262,621131.69,525785.13,3077081.69,0.00,774744.10,1023231.25,803530.33,875514.24
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2027-05-05,11.244098,709000.69,471629.50,3264145.91,0.00,888683.49,1023231.25,805376.94,878717.58
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2027-08-05,11.496152,696124.88,508172.78,2821333.88,0.00,876970.76,1023231.25,806946.64,881886.06
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2027-11-05,11.748207,598076.31,514997.13,2179102.19,0.00,757272.34,1023231.25,805880.89,884918.59
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2028-02-07,12.005464,591599.81,520632.88,2171018.50,0.00,752954.67,1023231.25,804746.77,887882.40
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2028-05-05,12.245902,651780.25,455659.97,2417846.88,0.00,833573.55,1023231.25,805312.76,890539.85
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2028-08-07,12.502732,625849.00,465136.03,2307977.16,0.00,804558.35,1023231.25,805297.26,893265.59
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2028-11-06,12.751366,510040.78,461423.66,1938088.28,0.00,658971.27,1023231.25,802444.11,895799.74
