#Portfolio,RiskClass,RiskType,PLDate1,PLDate2,PLAmount
All,All,All,2017-03-07,2017-03-21,-684287.102869
All,All,All,2017-03-08,2017-03-22,-688354.827040
All,All,All,2017-03-09,2017-03-23,-569009.869049
All,All,All,2017-03-10,2017-03-24,-377799.695738
All,All,All,2017-03-13,2017-03-27,-564700.393125
All,All,All,2017-03-14,2017-03-28,-523242.006717
All,All,All,2017-03-15,2017-03-29,-77300.306689
All,All,All,2017-03-16,2017-03-30,335667.816228
All,All,All,2017-03-17,2017-03-31,329254.603306
All,All,All,2017-03-20,2017-04-03,290738.220126
All,All,All,2017-03-21,2017-04-04,495960.358874
All,All,All,2017-03-22,2017-04-05,476765.442362
All,All,All,2017-03-23,2017-04-06,508348.276179
All,All,All,2017-03-24,2017-04-07,673260.159172
All,All,All,2017-03-27,2017-04-10,758770.711488
All,All,All,2017-03-28,2017-04-11,611453.577171
All,All,All,2017-03-29,2017-04-12,284421.466804
All,All,All,2017-03-30,2017-04-13,200257.405226
All,All,All,2017-04-04,2017-04-18,-168963.358598
All,All,All,2017-04-05,2017-04-19,-142066.568994
All,All,All,2017-04-06,2017-04-20,-233306.332119
All,All,All,2017-04-07,2017-04-21,-399348.200989
All,All,All,2017-04-10,2017-04-24,-699930.332540
All,All,All,2017-04-11,2017-04-25,-835092.727390
All,All,All,2017-04-12,2017-04-26,-601983.918652
All,All,All,2017-04-13,2017-04-27,-692079.929586
All,All,All,2017-04-18,2017-05-02,-495568.293474
All,All,All,2017-04-19,2017-05-03,-443399.928223
All,All,All,2017-04-20,2017-05-04,-673861.761790
All,All,All,2017-04-21,2017-05-05,-676171.872375
All,All,All,2017-04-24,2017-05-08,-148412.738920
All,All,All,2017-04-25,2017-05-09,143390.931228
All,All,All,2017-04-26,2017-05-10,97061.957889
All,All,All,2017-04-27,2017-05-11,46246.480262
All,All,All,2017-04-28,2017-05-12,-80770.483103
All,All,All,2017-05-02,2017-05-16,-401412.161569
All,All,All,2017-05-03,2017-05-17,-726078.757378
All,All,All,2017-05-04,2017-05-18,-360245.936388
All,All,All,2017-05-05,2017-05-19,-535044.151063
All,All,All,2017-05-08,2017-05-22,-815855.203882
All,All,All,2017-05-09,2017-05-23,-837327.006523
All,All,All,2017-05-10,2017-05-24,-903841.432445
All,All,All,2017-05-11,2017-05-25,-884515.462257
All,All,All,2017-05-12,2017-05-26,-640064.584343
All,All,All,2017-05-15,2017-05-30,-540647.672324
All,All,All,2017-05-16,2017-05-31,-414658.767828
All,All,All,2017-05-17,2017-06-01,-86561.563868
All,All,All,2017-05-18,2017-06-02,-410074.593281
All,All,All,2017-05-19,2017-06-05,-124564.413694
All,All,All,2017-05-22,2017-06-06,-92963.018625
All,All,All,2017-05-23,2017-06-07,-154294.978557
All,All,All,2017-05-24,2017-06-08,40692.916440
