#TradeId,ScenarioLabel,Base NPV,Scenario NPV,Sensitivity
FX_CALL_OPTION_1Y,explicit_vols,75059.13,113030.18,37971.05
FX_CALL_OPTION_1Y,parallel_vols,75059.13,113030.18,37971.05
FX_CALL_OPTION_1Y,weighting,75059.13,113030.18,37971.05
FX_CALL_OPTION_1Y,weighting_off,75059.13,113030.18,37971.05
FX_CALL_OPTION_2Y,explicit_vols,107489.87,187137.58,79647.71
FX_CALL_OPTION_2Y,parallel_vols,107489.87,160435.33,52945.45
FX_CALL_OPTION_2Y,weighting,107489.87,213770.07,106280.20
FX_CALL_OPTION_3Y,explicit_vols,137141.19,249028.69,111887.49
FX_CALL_OPTION_3Y,parallel_vols,137141.19,200953.32,63812.13
FX_CALL_OPTION_3Y,weighting,137141.19,296548.37,159407.18
FX_CALL_OPTION_5Y,explicit_vols,194124.90,390308.63,196183.73
FX_CALL_OPTION_5Y,parallel_vols,194124.90,273370.16,79245.26
FX_CALL_OPTION_5Y,weighting,194124.90,499707.58,305582.67
