#fixingDate,fixingId,fixingValue
2023-11-06,EUR-EONIA,0.0398700000
2023-11-07,EUR-EONIA,0.0398500000
2023-11-08,EUR-EONIA,0.0398700000
2023-11-09,EUR-EONIA,0.0398700000
2023-11-10,EUR-EONIA,0.0398700000
2023-11-13,EUR-EONIA,0.0398900000
2023-11-14,EUR-EONIA,0.0398800000
2023-11-15,EUR-EONIA,0.0398700000
2023-11-16,EUR-EONIA,0.0398400000
2023-11-17,EUR-EONIA,0.0399100000
2023-11-20,EUR-EONIA,0.0398700000
2023-11-21,EUR-EONIA,0.0398800000
2023-11-22,EUR-EONIA,0.0398600000
2023-11-23,EUR-EONIA,0.0398700000
2023-11-24,EUR-EONIA,0.0398700000
2023-11-27,EUR-EONIA,0.0398900000
2023-11-28,EUR-EONIA,0.0398800000
2023-11-29,EUR-EONIA,0.0398800000
2023-11-30,EUR-EONIA,0.0398700000
2023-12-01,EUR-EONIA,0.0397600000
2023-12-04,EUR-EONIA,0.0397600000
2023-12-05,EUR-EONIA,0.0398900000
2023-12-06,EUR-EONIA,0.0399000000
2023-12-07,EUR-EONIA,0.0398900000
2023-12-08,EUR-EONIA,0.0398800000
2023-12-11,EUR-EONIA,0.0398800000
2023-12-12,EUR-EONIA,0.0398700000
2023-12-13,EUR-EONIA,0.0399000000
2023-12-14,EUR-EONIA,0.0399000000
2023-12-15,EUR-EONIA,0.0399200000
2023-12-18,EUR-EONIA,0.0398900000
2023-12-19,EUR-EONIA,0.0398600000
2023-12-20,EUR-EONIA,0.0398600000
2023-12-21,EUR-EONIA,0.0398600000
2023-12-22,EUR-EONIA,0.0398400000
2023-12-25,EUR-EONIA,0.0398400000
2023-12-26,EUR-EONIA,0.0398400000
2023-12-27,EUR-EONIA,0.0398400000
2023-12-28,EUR-EONIA,0.0398500000
2023-12-29,EUR-EONIA,0.0398500000
2024-01-01,EUR-EONIA,0.0398500000
2024-01-02,EUR-EONIA,0.0396700000
2024-01-03,EUR-EONIA,0.0399100000
2024-01-04,EUR-EONIA,0.0398900000
2024-01-05,EUR-EONIA,0.0398700000
2024-01-08,EUR-EONIA,0.0399000000
2024-01-09,EUR-EONIA,0.0398900000
2024-01-10,EUR-EONIA,0.0398900000
2024-01-11,EUR-EONIA,0.0399100000
2024-01-12,EUR-EONIA,0.0399000000
2024-01-15,EUR-EONIA,0.0398900000
2024-01-16,EUR-EONIA,0.0398700000
2024-01-17,EUR-EONIA,0.0399000000
2024-01-18,EUR-EONIA,0.0398900000
2024-01-19,EUR-EONIA,0.0399200000
2024-01-22,EUR-EONIA,0.0398900000
2024-01-23,EUR-EONIA,0.0398700000
