#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,NotionalCurrency,Notional(Base),NettingSet,CounterParty
Swaption_01_19,Swaption,2036-03-03,20.073770,780375.764209,EUR,780375.764209,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_02_18,Swaption,2036-03-03,20.073770,1001153.601683,EUR,1001153.601683,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_03_17,Swaption,2036-03-03,20.073770,1160727.483027,EUR,1160727.483027,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_04_16,Swaption,2036-03-03,20.073770,1254046.409145,EUR,1254046.409145,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_05_15,Swaption,2036-03-03,20.073770,1310853.645369,EUR,1310853.645369,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_06_14,Swaption,2036-03-03,20.073770,1328783.620035,EUR,1328783.620035,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_07_13,Swaption,2036-03-03,20.073770,1327178.118065,EUR,1327178.118065,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_08_12,Swaption,2036-03-03,20.073770,1279268.352242,EUR,1279268.352242,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_09_11,Swaption,2036-03-03,20.073770,1221728.923294,EUR,1221728.923294,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_10_10,Swaption,2036-03-03,20.073770,1156594.462136,EUR,1156594.462136,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_11_9,Swaption,2036-03-03,20.073770,1072866.080225,EUR,1072866.080225,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_12_8,Swaption,2036-03-03,20.073770,981232.539406,EUR,981232.539406,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_13_7,Swaption,2036-03-03,20.073770,875965.699903,EUR,875965.699903,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_14_6,Swaption,2036-03-03,20.073770,749948.634316,EUR,749948.634316,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_15_5,Swaption,2036-03-03,20.073770,621145.609185,EUR,621145.609185,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_16_4,Swaption,2036-03-03,20.073770,515856.899578,EUR,515856.899578,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_17_3,Swaption,2036-03-03,20.073770,391948.256493,EUR,391948.256493,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_18_2,Swaption,2036-03-03,20.073770,263573.530802,EUR,263573.530802,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_19_1,Swaption,2036-03-03,20.073770,130738.662657,EUR,130738.662657,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
