Portfolio,ProductClass,RiskClass,MarginType,InitialMargin
dummyPortfolio,RateFX,InterestRate,Delta,491936.667626566
dummyPortfolio,RateFX,InterestRate,Vega,875.957536712965
dummyPortfolio,RateFX,InterestRate,Curvature,1523.52547583686
dummyPortfolio,RateFX,InterestRate,All,494336.150639116
dummyPortfolio,RateFX,CreditQualifying,Delta,0
dummyPortfolio,RateFX,CreditQualifying,Vega,0
dummyPortfolio,RateFX,CreditQualifying,Curvature,0
dummyPortfolio,RateFX,CreditQualifying,All,0
dummyPortfolio,RateFX,CreditNonQualifying,Delta,0
dummyPortfolio,RateFX,CreditNonQualifying,Vega,0
dummyPortfolio,RateFX,CreditNonQualifying,Curvature,0
dummyPortfolio,RateFX,CreditNonQualifying,All,0
dummyPortfolio,RateFX,Equity,Delta,0
dummyPortfolio,RateFX,Equity,Vega,0
dummyPortfolio,RateFX,Equity,Curvature,0
dummyPortfolio,RateFX,Equity,All,0
dummyPortfolio,RateFX,Commodity,Delta,0
dummyPortfolio,RateFX,Commodity,Vega,0
dummyPortfolio,RateFX,Commodity,Curvature,0
dummyPortfolio,RateFX,Commodity,All,0
dummyPortfolio,RateFX,FX,Delta,253059.845682365
dummyPortfolio,RateFX,FX,Vega,40137.7421172237
dummyPortfolio,RateFX,FX,Curvature,182126.197439174
dummyPortfolio,RateFX,FX,All,475323.785238763
dummyPortfolio,RateFX,All,All,772777.189754953
dummyPortfolio,Credit,InterestRate,Delta,0
dummyPortfolio,Credit,InterestRate,Vega,0
dummyPortfolio,Credit,InterestRate,Curvature,0
dummyPortfolio,Credit,InterestRate,All,0
dummyPortfolio,Credit,CreditQualifying,Delta,2079260.22819518
dummyPortfolio,Credit,CreditQualifying,Vega,4311.44071266272
dummyPortfolio,Credit,CreditQualifying,Curvature,424.759352074307
dummyPortfolio,Credit,CreditQualifying,All,2083996.42825991
dummyPortfolio,Credit,CreditNonQualifying,Delta,5933911.4795958
dummyPortfolio,Credit,CreditNonQualifying,Vega,4518.3734259571
dummyPortfolio,Credit,CreditNonQualifying,Curvature,746.014673921295
dummyPortfolio,Credit,CreditNonQualifying,All,5939175.86769568
dummyPortfolio,Credit,Equity,Delta,0
dummyPortfolio,Credit,Equity,Vega,0
dummyPortfolio,Credit,Equity,Curvature,0
dummyPortfolio,Credit,Equity,All,0
dummyPortfolio,Credit,Commodity,Delta,0
dummyPortfolio,Credit,Commodity,Vega,0
dummyPortfolio,Credit,Commodity,Curvature,0
dummyPortfolio,Credit,Commodity,All,0
dummyPortfolio,Credit,FX,Delta,0
dummyPortfolio,Credit,FX,Vega,0
dummyPortfolio,Credit,FX,Curvature,0
dummyPortfolio,Credit,FX,All,0
dummyPortfolio,Credit,All,All,6749660.5338387
dummyPortfolio,Equity,InterestRate,Delta,0
dummyPortfolio,Equity,InterestRate,Vega,0
dummyPortfolio,Equity,InterestRate,Curvature,0
dummyPortfolio,Equity,InterestRate,All,0
dummyPortfolio,Equity,CreditQualifying,Delta,0
dummyPortfolio,Equity,CreditQualifying,Vega,0
dummyPortfolio,Equity,CreditQualifying,Curvature,0
dummyPortfolio,Equity,CreditQualifying,All,0
dummyPortfolio,Equity,CreditNonQualifying,Delta,0
dummyPortfolio,Equity,CreditNonQualifying,Vega,0
dummyPortfolio,Equity,CreditNonQualifying,Curvature,0
dummyPortfolio,Equity,CreditNonQualifying,All,0
dummyPortfolio,Equity,Equity,Delta,58026595.261226
dummyPortfolio,Equity,Equity,Vega,79871.2254053242
dummyPortfolio,Equity,Equity,Curvature,161991.734126643
dummyPortfolio,Equity,Equity,All,58268458.2207579
dummyPortfolio,Equity,Commodity,Delta,0
dummyPortfolio,Equity,Commodity,Vega,0
dummyPortfolio,Equity,Commodity,Curvature,0
dummyPortfolio,Equity,Commodity,All,0
dummyPortfolio,Equity,FX,Delta,0
dummyPortfolio,Equity,FX,Vega,0
dummyPortfolio,Equity,FX,Curvature,0
dummyPortfolio,Equity,FX,All,0
dummyPortfolio,Equity,All,All,58268458.2207579
dummyPortfolio,Commodity,InterestRate,Delta,0
dummyPortfolio,Commodity,InterestRate,Vega,0
dummyPortfolio,Commodity,InterestRate,Curvature,0
dummyPortfolio,Commodity,InterestRate,All,0
dummyPortfolio,Commodity,CreditQualifying,Delta,0
dummyPortfolio,Commodity,CreditQualifying,Vega,0
dummyPortfolio,Commodity,CreditQualifying,Curvature,0
dummyPortfolio,Commodity,CreditQualifying,All,0
dummyPortfolio,Commodity,CreditNonQualifying,Delta,0
dummyPortfolio,Commodity,CreditNonQualifying,Vega,0
dummyPortfolio,Commodity,CreditNonQualifying,Curvature,0
dummyPortfolio,Commodity,CreditNonQualifying,All,0
dummyPortfolio,Commodity,Equity,Delta,0
dummyPortfolio,Commodity,Equity,Vega,0
dummyPortfolio,Commodity,Equity,Curvature,0
dummyPortfolio,Commodity,Equity,All,0
dummyPortfolio,Commodity,Commodity,Delta,11386710.8624064
dummyPortfolio,Commodity,Commodity,Vega,4641.17544504666
dummyPortfolio,Commodity,Commodity,Curvature,22749.5272323769
dummyPortfolio,Commodity,Commodity,All,11414101.5650838
dummyPortfolio,Commodity,FX,Delta,0
dummyPortfolio,Commodity,FX,Vega,0
dummyPortfolio,Commodity,FX,Curvature,0
dummyPortfolio,Commodity,FX,All,0
dummyPortfolio,Commodity,All,All,11414101.5650838
dummyPortfolio,All,All,All,77204997.5094354
