#RiskFactorType,RiskFactorName
"DiscountCurve","EUR|GBP|USD"
"YieldCurve","BENCHMARK_EUR"
"IndexCurve","EUR-EURIBOR-3M|EUR-EURIBOR-6M|GBP-LIBOR-6M|USD-LIBOR-3M|USD-LIBOR-6M"
"SwaptionVolatility","EUR-EURIBOR-3M"
"OptionletVolatility","EUR-EURIBOR-6M|USD-LIBOR-3M"
"FXSpot","EURGBP|EURUSD|GBPEUR|USDEUR"
"FXVolatility","EURUSD"
"EquitySpot","Lufthansa|SP5"
"DividendYield","Lufthansa|SP5"
"EquityVolatility","Lufthansa|SP5"
"SurvivalProbability","BANK|CPTY_C"
"RecoveryRate","BANK|SECURITY_1"
"ZeroInflationCurve","UKRPI"
"YoYInflationCurve","EUHICPXT"
"SecuritySpread","SECURITY_1"
