#MarketObjectType,MarketObjectName
"DiscountCurve","EUR|GBP|USD"
"YieldCurve","BENCHMARK_EUR|EUR1D|EUR3M|GBP1D|GBP3M|GBP6M|USD1D|USD3M"
"IndexCurve","EUR-EURIBOR-3M|EUR-EURIBOR-6M|GBP-LIBOR-6M|USD-LIBOR-3M|USD-LIBOR-6M"
"SwapIndexCurve","EUR-CMS-1Y|EUR-CMS-30Y"
"FXSpot","EURGBP|EURUSD"
"FXVol","EURUSD"
"SwaptionVol","EUR-EURIBOR-3M"
"DefaultCurve","BANK|CPTY_C"
"CapFloorVol","EUR-EURIBOR-6M|USD-LIBOR-3M"
"ZeroInflationCurve","UKRPI"
"YoYInflationCurve","EUHICPXT"
"EquityCurves","Lufthansa|SP5"
"EquityVols","Lufthansa|SP5"
"Securities","SECURITY_1"
